,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.51,0.63,0.6,0.88,0.65,0.45,0.81,0.72,0.76,1.39,0.91,0.89,0.92,0.54,0.92,0.76
f_1,1.08,1.51,0.63,0.61,0.54,0.54,0.65,0.71,0.79,0.76,0.44,0.78,0.82,0.54,0.73,0.58
d_1,0.7,0.8,1.54,0.61,0.61,0.57,0.78,0.64,1.28,0.52,0.76,0.85,0.91,0.67,0.72,0.56
c_1,0.59,0.8,0.69,1.56,1.04,0.59,0.8,0.71,0.4,0.67,0.69,0.62,0.89,0.61,0.82,0.64
b_1,0.7,0.75,0.7,0.57,1.63,0.96,0.91,0.85,0.85,0.79,0.86,0.43,0.86,0.84,0.79,0.7
a_1,0.83,0.75,0.86,0.71,0.59,1.73,0.93,0.77,0.9,0.76,0.83,0.77,0.92,0.7,0.86,0.4
h_1,0.81,1.28,0.94,0.9,0.67,0.62,1.74,1.23,1.05,1.15,0.95,1.01,0.82,1.0,1.15,0.79
g_1,0.96,0.91,1.27,0.88,0.67,0.82,0.98,1.81,1.04,0.99,1.44,1.08,0.89,0.83,0.78,0.94
c_0,1.06,0.98,0.96,0.69,0.75,0.8,1.06,1.05,1.58,1.21,1.2,1.67,1.16,1.05,1.14,1.19
d_0,0.85,1.08,0.65,1.61,0.92,0.81,0.94,0.95,0.83,1.58,1.1,0.95,1.15,0.88,1.18,0.91
f_0,0.85,0.85,1.0,1.2,0.94,0.73,1.24,0.84,1.06,1.25,1.67,1.15,1.12,1.75,1.1,0.91
b_0,0.91,0.94,1.17,1.08,0.67,0.64,1.12,1.04,1.02,1.19,1.15,1.7,1.33,1.18,1.26,1.89
h_0,0.98,1.16,1.05,1.01,0.86,0.82,0.89,1.37,1.11,1.19,1.04,1.09,0.98,0.85,1.44,0.94
e_0,0.61,1.27,1.14,1.18,0.85,0.9,1.18,1.19,1.16,1.05,1.04,0.98,1.41,1.76,0.99,0.9
g_0,0.9,0.9,1.52,1.09,0.86,0.78,1.22,0.83,1.17,1.12,1.63,1.03,1.16,1.32,1.03,0.95
a_0,0.89,1.17,1.27,0.99,0.91,0.62,1.28,0.99,0.9,1.27,1.29,0.94,1.36,1.0,1.31,1.79
