,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.24,0.36,0.4,0.38,0.33,0.11,0.13,0.08,0.07,0.07,0.09,0.05,0.07,0.09,0.05
f_1,0.35,0.17,0.34,0.39,0.35,0.31,0.08,0.1,0.08,0.06,0.07,0.09,0.04,0.06,0.06,0.06
d_1,0.42,0.43,0.15,0.34,0.31,0.32,0.09,0.06,0.12,0.07,0.07,0.06,0.05,0.07,0.07,0.03
c_1,0.3,0.33,0.47,0.14,0.29,0.33,0.1,0.1,0.05,0.09,0.07,0.09,0.05,0.08,0.07,0.05
b_1,0.34,0.35,0.43,0.21,0.13,0.34,0.11,0.12,0.07,0.1,0.11,0.08,0.05,0.09,0.07,0.06
a_1,0.36,0.43,0.39,0.35,0.19,0.08,0.11,0.11,0.08,0.09,0.09,0.08,0.07,0.11,0.06,0.05
h_1,0.32,0.36,0.3,0.31,0.34,0.29,0.05,0.1,0.06,0.06,0.06,0.06,0.06,0.07,0.05,0.04
g_1,0.35,0.37,0.3,0.31,0.29,0.28,0.07,0.04,0.07,0.06,0.07,0.06,0.04,0.06,0.06,0.05
d_0,0.22,0.31,0.47,0.36,0.35,0.29,0.11,0.11,0.05,0.07,0.08,0.07,0.05,0.08,0.07,0.05
c_0,0.37,0.36,0.2,0.49,0.35,0.29,0.09,0.09,0.1,0.05,0.07,0.06,0.05,0.06,0.06,0.05
b_0,0.3,0.36,0.26,0.39,0.41,0.29,0.1,0.09,0.07,0.04,0.04,0.06,0.05,0.07,0.05,0.05
f_0,0.33,0.45,0.29,0.31,0.31,0.25,0.09,0.06,0.07,0.07,0.07,0.04,0.04,0.07,0.07,0.03
h_0,0.31,0.34,0.3,0.33,0.34,0.26,0.12,0.09,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05
a_0,0.33,0.39,0.28,0.32,0.35,0.44,0.1,0.09,0.08,0.06,0.04,0.06,0.05,0.03,0.06,0.04
e_0,0.37,0.57,0.28,0.27,0.3,0.26,0.09,0.07,0.06,0.06,0.07,0.04,0.05,0.05,0.03,0.04
g_0,0.33,0.32,0.31,0.34,0.31,0.28,0.08,0.11,0.07,0.06,0.06,0.06,0.03,0.06,0.06,0.05
