,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,8341.09,113.06,171.19,311.53,556.36,1136.54,170545.64,876954.28,609888.28,402362.04,813129.31,1200218.81,8819781.2,7287805.95,,14039412.43
f_1,197.72,11367.63,182.17,280.51,321.39,1145.77,236936.02,536906.29,709373.24,325406.11,988887.01,,6647993.74,7755180.51,7057375.73,16697395.06
d_1,135.22,172.48,18348.33,205.74,632.74,1540.68,216303.17,,946491.74,527588.31,788768.78,1209984.38,6453539.5,6399089.84,5607627.03,11602228.15
c_1,145.58,112.28,271.46,26540.13,1021.83,1357.14,143308.44,514820.0,,446295.05,761355.2,1344715.17,8106007.8,6889385.12,6037280.8,10929787.27
b_1,90.79,188.31,183.72,311.96,52744.16,2941.73,205566.49,729787.35,533394.0,605261.83,,916229.93,4783899.24,,9059776.64,10750668.38
a_1,132.55,187.33,208.24,286.15,359.64,198605.51,285817.98,588882.82,320896.16,333788.31,876038.12,,6582208.2,,13893352.68,
h_1,408.57,975.62,798.76,1047.07,2083.67,4326.07,9079186.8,1520390.31,1795075.95,2546173.56,3570371.88,3767392.8,,21960817.77,26646401.88,69058112.88
d_0,615.18,914.03,,3087.88,2942.61,6839.37,696414.9,15435910.67,2702813.22,2190701.28,3794713.43,7079273.55,36015150.57,34719304.23,26078651.84,47212333.93
c_0,565.29,925.62,1274.38,,2147.29,9090.46,933249.74,1690385.7,18680538.63,2627040.07,7191938.52,4878911.97,40334148.06,22218800.94,35254637.44,65075835.7
g_1,376.85,454.88,1657.67,968.33,1376.42,4488.95,628979.81,2011049.83,1883130.45,30845073.97,2816317.43,5773642.94,26517179.13,24540552.39,36157241.11,
b_0,670.73,638.52,1132.12,1240.59,,8918.57,1118343.92,3059789.89,2907698.85,2199648.71,30164179.08,6006335.41,34244551.59,,34333694.49,43608644.94
f_0,519.77,,848.16,1973.62,2016.83,,790869.93,2165931.83,3504374.25,2471904.88,5429833.85,42967705.54,29447927.99,28388374.19,91034136.05,77206697.06
h_0,754.83,1351.84,1712.05,1801.05,3584.08,10677.33,,4740040.37,4663677.71,4536040.29,5674708.71,8769899.47,,54202312.48,65766977.2,135774032.22
a_0,443.39,782.95,745.73,1908.43,,,1377871.17,2495723.92,2946620.99,3009275.51,,6926285.29,43899225.98,381665919.64,,81495958.01
e_0,,702.85,1252.14,1034.97,3604.27,7104.5,664954.53,2075317.47,3675390.92,3301726.23,5016860.57,4679632.47,49598329.42,,469427034.88,53500978.81
g_0,610.18,719.05,2684.02,2029.42,5267.67,,1412899.39,3052047.4,4230141.92,,7442158.44,16203914.7,44652789.94,50313689.12,52908849.85,
