,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.16,1.0,0.79,0.84,0.76,0.51,0.5,0.56,0.35,0.44,0.37,0.36,0.34,0.33,0.23
f_1,0.86,1.0,1.28,1.02,0.81,0.63,0.43,0.46,0.43,0.46,0.4,0.38,0.32,0.3,0.25,0.3
e_1,1.0,0.79,1.0,1.13,1.0,0.79,0.5,0.67,0.44,0.53,0.42,0.45,0.42,0.36,0.31,0.4
c_1,1.29,0.97,0.89,1.0,1.24,0.65,0.51,0.33,0.39,0.46,0.34,0.38,0.37,0.35,0.37,0.35
b_1,1.18,1.23,1.01,0.81,1.0,1.43,0.58,0.52,0.47,0.47,0.53,0.42,0.39,0.33,0.36,0.31
a_1,1.31,1.6,1.27,1.52,0.7,1.0,0.65,0.51,0.54,0.62,0.6,0.62,0.48,0.48,0.45,0.43
h_1,1.96,2.33,2.08,1.96,1.74,1.48,1.0,0.84,0.81,1.02,0.75,0.79,0.72,0.61,0.67,0.76
d_0,2.06,2.06,1.46,3.03,2.05,1.89,1.23,1.0,0.88,1.1,1.01,0.99,0.89,0.77,0.75,0.89
c_0,1.8,2.35,2.26,2.37,1.99,1.73,1.25,1.16,1.0,1.11,1.19,0.9,0.83,0.85,0.7,0.76
g_1,2.83,2.07,1.92,2.32,2.15,1.6,1.03,0.9,0.95,1.0,0.92,1.12,0.68,0.64,0.76,0.71
b_0,2.29,2.64,2.4,3.01,1.9,1.52,1.33,0.98,0.84,1.06,1.0,0.92,0.92,1.13,0.93,0.77
f_0,2.72,2.53,2.29,2.51,2.48,1.59,1.23,1.08,1.1,0.96,1.05,1.0,0.97,0.89,1.26,0.62
h_0,2.79,3.24,2.45,2.63,2.55,2.04,1.36,1.16,1.17,1.45,1.1,1.08,1.0,0.92,0.84,1.06
a_0,2.8,3.27,2.85,2.96,3.08,2.08,1.67,1.23,1.15,1.61,0.94,1.12,1.11,1.0,0.99,0.94
e_0,3.04,3.88,3.02,2.83,3.03,2.2,1.37,1.42,1.45,1.28,1.21,0.85,1.19,1.0,1.0,0.99
g_0,4.17,3.33,2.47,3.06,3.1,2.43,1.36,1.15,1.38,1.38,1.25,1.61,0.95,1.09,1.01,1.0
