,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,101.62,53.3,66.2,108.74,117.24,258.99,9727.47,22211.33,18683.18,23249.73,34177.44,39044.13,98113.53,115649.54,104819.78,155298.09
f_1,76.93,109.77,69.06,81.27,95.2,264.94,8313.81,12858.67,16267.65,24586.45,28793.49,27493.41,73849.76,76023.54,96677.62,148329.19
d_1,45.48,63.82,141.82,64.23,74.76,243.7,9049.21,9009.74,13090.51,32693.38,32262.48,31627.78,81203.62,74527.88,119881.86,125934.72
c_1,37.42,44.34,58.76,157.64,158.69,225.17,7604.16,9637.59,15051.76,10513.84,24063.98,30524.29,74762.76,68026.62,102771.35,123405.17
b_1,33.58,40.96,67.76,60.12,189.34,438.92,7708.68,9597.45,14614.0,19697.8,16953.13,31930.49,68363.64,63543.97,94009.96,127541.72
a_1,30.8,33.65,49.19,54.22,41.73,435.6,6263.55,7745.74,11334.13,12105.55,18639.02,22341.18,60792.22,33276.96,83954.67,98219.22
h_1,12.39,18.18,19.75,19.4,24.44,59.02,3652.33,3236.36,5204.31,5251.67,7518.92,8314.85,16461.81,19831.53,26250.7,51118.9
d_0,9.13,12.19,13.7,34.07,28.05,60.88,1969.44,4123.52,4118.47,3706.43,6817.62,8198.36,22777.54,19459.35,27913.66,39119.47
g_1,8.51,10.37,22.95,13.88,21.12,57.68,1670.71,2176.47,6292.44,5022.16,5388.3,9805.7,16128.72,17273.16,26174.78,22914.15
c_0,8.92,12.14,14.23,15.1,15.1,56.08,2099.25,3097.59,3363.17,6342.21,9563.73,7122.16,17057.71,20769.84,25780.99,36083.15
b_0,8.74,10.62,13.35,15.36,12.38,44.89,1745.2,2444.94,3350.91,3498.91,8035.47,5950.11,18381.23,23956.8,23925.08,31879.93
f_0,7.27,6.73,12.66,13.85,19.81,53.95,1743.63,2551.27,2795.77,3751.96,5257.58,9200.56,16362.24,14681.04,37005.74,23878.63
h_0,6.8,9.56,9.84,11.58,14.62,36.07,888.54,1676.24,2705.94,2828.53,3395.03,4223.92,8852.69,9109.9,15325.83,24016.88
a_0,5.96,7.56,9.82,11.36,13.84,26.19,1370.36,1920.97,2056.58,2613.03,3823.34,4701.55,14345.84,17428.62,16531.58,19786.69
e_0,3.58,7.57,8.95,10.38,14.28,27.79,1153.46,1464.26,1995.22,2706.63,3180.23,3645.9,11587.73,9580.64,21611.72,21074.22
g_0,5.15,5.81,11.57,9.49,11.05,29.75,863.9,1203.12,1663.8,2426.56,3385.4,5091.26,9100.5,10136.81,12484.89,13147.06
