,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,25.64,0.24,0.39,0.41,0.3,0.35,0.72,0.69,0.78,1.68,0.99,0.82,0.81,0.68,0.18,0.57
d_1,0.36,26.64,0.32,0.27,0.31,0.36,0.7,0.68,1.82,0.14,0.94,0.89,0.91,0.76,1.0,0.85
f_1,0.66,0.37,25.51,0.28,0.3,0.27,0.8,0.74,0.72,0.83,0.1,0.8,0.78,0.99,0.55,0.83
c_1,0.24,0.29,0.35,29.12,0.75,0.33,0.68,0.57,0.13,0.87,0.83,0.38,0.97,0.78,0.8,1.01
b_1,0.34,0.24,0.32,0.33,30.71,0.83,0.78,0.69,0.57,0.78,0.82,0.13,1.14,0.73,0.85,0.81
a_1,0.31,0.34,0.31,0.47,0.37,43.35,0.55,0.86,0.7,0.74,0.66,1.0,0.74,0.13,1.02,0.99
h_1,0.52,0.75,0.95,0.74,0.54,0.44,8.87,1.6,1.34,1.16,1.39,1.9,0.42,1.34,1.3,2.23
g_1,0.57,1.35,0.54,0.34,0.6,0.55,1.32,11.55,1.5,1.14,2.42,1.67,1.1,1.16,1.47,0.63
c_0,0.6,0.79,0.8,0.26,0.54,0.67,1.62,1.61,6.21,1.11,1.58,3.65,1.27,2.06,1.64,1.82
d_0,0.78,0.12,0.65,1.77,0.68,0.39,1.49,0.93,0.78,5.71,1.4,1.51,1.53,1.26,1.24,1.24
f_0,0.54,0.89,0.25,0.63,0.73,0.54,1.55,1.54,1.86,1.36,7.29,1.94,1.96,1.39,4.31,1.93
b_0,0.52,1.17,0.83,0.73,0.16,0.4,1.41,1.33,1.56,1.15,1.62,7.39,2.23,3.83,1.35,1.4
h_0,0.51,0.63,0.98,0.69,0.55,0.65,0.51,2.37,1.54,1.63,1.36,1.4,0.66,1.88,1.32,2.64
a_0,0.67,0.85,0.86,0.7,0.51,,1.63,1.23,1.39,1.37,1.72,1.47,2.39,9.17,1.63,2.26
e_0,0.19,0.98,0.95,0.7,0.48,0.84,1.66,1.47,1.39,1.5,1.39,1.7,2.03,1.18,9.34,1.7
g_0,0.5,1.35,0.49,0.82,0.52,0.58,1.31,0.47,1.24,1.02,2.06,1.86,1.56,1.58,1.7,0.64
