,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,92.34,32.17,43.12,68.8,107.76,177.59,6067.0,10244.33,9991.34,25588.01,16775.66,21173.16,59012.72,43988.11,30250.76,99401.17
f_1,45.43,105.93,41.1,60.0,87.31,198.95,4415.76,9991.9,7733.71,11529.72,16006.1,6460.54,43897.26,39893.88,46115.52,78415.74
d_1,24.78,32.09,120.33,65.43,87.51,195.07,5291.4,16303.13,10118.12,6180.15,13580.45,19546.08,50284.77,38908.36,63765.57,62566.09
c_1,24.33,27.9,30.11,182.66,129.56,121.93,3981.57,3113.06,9713.07,8181.85,11312.27,18218.62,39338.84,30877.52,46344.23,75134.83
b_1,18.97,25.38,29.12,39.78,263.21,213.87,4264.5,6263.72,5779.9,9000.83,3432.88,15001.9,37775.36,26944.8,38864.48,57554.81
a_1,17.83,16.61,21.17,41.09,43.35,432.47,3362.22,5609.97,6360.02,5921.56,10947.03,14015.71,31204.08,,38203.77,53967.66
h_1,7.21,14.12,11.27,20.54,26.43,45.77,3199.94,2705.16,4457.06,4074.09,5342.2,6957.27,10397.35,12311.57,19555.78,31605.06
c_0,7.63,9.34,8.89,9.24,23.96,45.9,1721.32,4298.48,3411.73,3403.98,7293.58,6001.94,15846.27,15402.86,18356.15,25164.11
g_1,5.38,8.3,12.05,13.66,34.35,47.13,1100.54,2211.59,5790.1,2753.77,3914.81,6023.14,9680.37,9411.7,12079.32,9721.73
d_0,5.19,9.64,5.52,27.64,22.98,39.37,1063.2,2293.86,2758.02,5077.81,4178.85,4643.73,14034.85,9712.13,13615.36,24481.32
b_0,5.76,8.13,10.28,14.57,24.51,26.08,1173.91,2153.83,2533.24,2851.53,6094.19,5384.26,9500.79,19539.46,14753.73,19275.9
f_0,4.87,4.63,8.5,14.68,21.35,41.6,1116.76,2216.29,2347.97,3117.43,3006.65,7635.83,10678.34,10706.02,21057.54,17224.61
h_0,4.49,7.15,6.4,10.95,16.97,20.7,553.96,1303.53,2240.29,1758.22,2850.04,3224.36,4218.85,5914.95,8375.45,14964.89
a_0,4.74,6.05,7.16,12.39,17.07,,810.05,1573.76,1556.49,2428.84,2084.97,2883.62,9918.61,14185.8,10051.36,12972.88
e_0,2.18,6.22,5.26,9.39,13.25,27.38,921.08,1557.75,2009.17,1965.89,2606.76,2808.5,9492.17,7161.27,18221.79,12566.22
g_0,3.25,4.83,7.69,8.67,12.61,16.68,546.93,1292.05,1113.64,1693.29,2362.81,3529.42,6658.56,6231.33,8701.09,8330.29
