,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.37,0.53,1.19,0.51,0.47,0.47,0.75,0.71,0.83,0.82,0.72,0.32,0.85,0.79,0.67,0.68
d_1,0.55,18.27,0.47,0.46,0.49,0.54,0.93,0.9,2.04,0.31,1.32,0.9,0.95,1.01,1.08,0.89
e_1,0.66,0.4,17.73,0.61,0.51,0.49,0.86,0.92,0.89,2.14,1.22,0.94,0.99,0.95,0.46,1.13
c_1,0.5,0.46,0.42,20.33,1.3,0.56,0.73,0.77,0.29,0.91,0.7,1.1,0.9,0.81,1.01,1.13
b_1,0.49,0.59,0.48,0.51,22.0,1.18,0.95,0.67,0.79,1.09,0.22,1.0,0.91,1.0,0.91,0.99
a_1,0.51,0.67,0.49,0.58,0.43,32.56,0.79,1.05,0.87,0.74,1.05,1.11,1.3,0.37,0.98,0.79
h_1,0.99,0.74,0.52,0.81,0.51,0.53,6.02,1.71,0.9,0.92,0.91,1.12,0.73,0.98,1.29,1.72
g_1,0.51,1.35,0.51,0.79,0.6,0.55,1.26,7.09,0.89,0.76,0.98,1.92,1.08,1.29,1.16,0.61
c_0,0.87,0.83,0.59,0.39,0.48,0.71,1.12,1.2,3.54,0.89,2.87,1.22,1.36,1.54,1.21,1.42
d_0,0.73,0.28,0.67,2.03,0.62,0.62,1.11,0.99,0.58,3.43,1.04,1.27,1.14,1.04,1.12,1.04
b_0,0.81,0.65,0.73,0.7,0.4,0.61,1.35,1.33,1.15,1.08,3.74,1.17,1.33,2.7,1.28,1.17
f_0,0.34,0.97,0.51,0.91,0.62,0.68,1.6,1.25,1.28,0.83,1.37,4.22,1.62,1.4,3.37,1.33
h_0,1.13,0.78,0.55,0.68,0.75,0.64,0.65,1.64,0.99,1.06,1.31,1.12,0.75,1.16,1.25,1.75
a_0,0.82,0.62,0.71,0.77,0.66,0.23,1.5,0.99,1.29,1.13,1.09,1.37,1.56,5.02,1.44,1.41
e_0,0.77,0.84,0.25,0.87,0.8,0.61,1.45,1.24,1.2,1.08,1.4,1.49,1.2,0.99,5.69,1.29
g_0,0.63,1.71,0.4,0.63,0.64,0.64,1.31,0.6,1.47,0.83,1.14,2.25,1.23,1.29,1.41,0.69
