,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.82,3.12,2.78,2.86,2.55,0.59,0.93,0.61,0.64,0.6,0.86,0.34,0.57,0.54,0.53
e_1,1.74,1.1,3.07,3.08,3.65,2.99,0.98,1.06,0.73,0.73,0.66,0.88,0.42,0.6,0.91,0.47
d_1,3.67,3.5,1.1,3.39,3.14,3.01,0.79,0.57,1.08,0.57,0.63,0.57,0.38,0.55,0.57,0.28
c_1,3.08,2.9,4.19,1.11,3.31,3.21,1.1,0.93,0.39,1.04,0.71,0.67,0.49,0.65,0.69,0.47
b_1,4.71,4.05,4.46,2.16,1.12,4.54,1.34,1.27,0.87,1.14,1.75,0.85,0.72,0.87,0.96,0.68
a_1,6.79,6.6,5.93,5.86,2.75,1.13,1.71,1.82,1.43,1.52,1.96,1.19,1.06,2.17,1.39,0.92
h_1,11.47,9.61,10.8,12.73,9.61,8.62,1.61,3.42,2.46,2.42,2.37,2.14,2.24,2.14,2.54,1.66
g_1,15.12,13.14,10.77,16.24,13.68,12.45,2.63,1.61,2.98,2.17,2.73,2.88,1.58,2.52,2.43,2.04
d_0,16.41,9.22,20.07,16.75,13.61,14.8,4.63,5.19,2.03,3.31,3.12,3.11,2.32,3.33,3.11,2.36
c_0,16.71,15.3,8.41,25.26,16.97,13.93,5.03,3.98,4.92,1.92,3.23,3.28,2.26,3.33,2.77,2.22
b_0,16.94,14.33,12.35,26.75,19.57,15.54,4.29,4.02,3.38,1.66,1.9,3.02,2.25,3.36,2.96,2.18
f_0,26.91,16.33,16.13,20.94,18.62,16.35,5.3,3.62,4.31,3.32,3.49,2.01,2.82,3.25,3.35,1.53
h_0,24.24,20.01,19.15,24.11,27.08,23.21,8.3,5.9,5.12,3.98,4.4,4.17,4.18,3.79,3.75,3.2
a_0,23.46,20.81,22.03,26.52,31.54,25.75,7.52,6.26,4.96,3.79,2.44,4.38,3.32,2.27,4.8,3.11
e_0,32.68,30.6,21.89,28.68,25.53,21.61,7.39,6.78,4.58,4.81,4.53,2.44,3.54,3.59,2.13,2.75
g_0,29.28,26.58,24.61,32.48,28.83,30.32,6.62,9.76,6.12,5.33,6.36,5.3,3.27,5.08,5.19,5.46
