,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,1.04,0.86,1.01,0.71,0.49,0.46,0.61,0.37,0.4,0.35,0.32,0.34,0.38,0.33
f_1,1.27,1.0,0.96,0.87,0.9,0.59,0.42,0.48,0.43,0.33,0.37,0.34,0.32,0.28,0.23,0.29
c_1,0.97,1.05,1.0,1.07,1.21,0.67,0.53,0.47,0.33,0.37,0.4,0.36,0.34,0.35,0.34,0.29
d_1,1.15,1.17,0.94,1.0,0.9,0.74,0.53,0.4,0.46,0.53,0.42,0.42,0.41,0.37,0.33,0.26
b_1,1.0,1.1,0.84,1.11,1.0,1.09,0.57,0.49,0.5,0.47,0.41,0.48,0.34,0.39,0.34,0.35
a_1,1.4,1.67,1.47,1.31,0.93,1.0,0.78,0.63,0.64,0.58,0.52,0.65,0.49,0.51,0.48,0.46
h_1,2.0,2.41,1.86,1.88,1.78,1.22,1.0,1.06,0.85,0.72,0.71,0.73,0.61,0.67,0.56,0.67
g_1,2.16,2.16,2.13,2.6,2.04,1.56,0.97,1.0,0.87,0.79,0.99,0.82,0.74,0.68,0.65,0.66
d_0,1.68,2.3,3.06,2.21,2.0,1.5,1.19,1.14,1.0,0.74,0.84,0.89,0.82,0.7,0.76,0.75
c_0,2.74,2.9,2.63,1.95,2.13,1.69,1.42,1.21,1.27,1.0,0.99,1.27,0.95,0.9,0.74,0.87
f_0,2.46,2.83,2.73,2.5,2.32,1.74,1.35,0.98,1.19,0.94,1.0,1.07,0.9,0.96,1.24,0.63
b_0,2.84,2.91,2.82,2.44,2.13,1.46,1.36,1.24,1.04,0.77,0.93,1.0,1.29,0.84,0.68,0.81
a_0,3.06,3.1,3.04,2.53,2.84,2.03,1.58,1.42,1.23,1.05,1.12,0.81,1.0,1.0,1.08,0.86
h_0,2.86,3.45,3.02,2.69,2.59,1.81,1.55,1.51,1.45,1.12,1.0,1.15,1.0,1.0,0.91,1.0
e_0,2.77,4.15,3.08,2.84,2.92,2.05,1.78,1.44,1.39,1.32,0.84,1.32,0.94,1.11,1.01,0.9
g_0,3.05,3.39,3.5,3.79,2.94,2.14,1.47,1.5,1.38,1.23,1.59,1.28,1.11,0.97,1.18,1.0
