,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.1,2.69,2.89,2.39,3.06,2.62,0.63,0.65,0.6,0.89,0.53,0.8,0.31,0.58,0.48,0.48
e_1,1.78,1.1,3.62,2.92,3.07,3.41,0.84,0.65,0.65,0.88,0.63,0.83,0.48,0.89,0.61,0.45
c_1,3.54,2.57,1.11,4.36,3.6,3.2,1.03,0.42,0.94,0.83,0.65,0.62,0.49,0.6,0.63,0.51
d_1,3.53,3.98,3.7,1.1,3.42,2.96,0.82,1.25,0.6,0.65,0.76,0.65,0.5,0.52,0.64,0.28
b_1,4.52,4.49,2.04,4.16,1.11,3.78,1.18,0.77,1.06,1.26,1.5,0.83,0.67,0.64,0.82,0.59
a_1,6.13,6.29,4.91,6.34,2.55,1.13,1.8,1.4,1.31,1.49,1.98,1.08,0.78,1.21,2.67,0.91
h_1,11.98,12.87,12.49,12.21,11.31,9.21,1.63,2.67,2.21,3.56,2.31,2.5,2.28,2.29,2.57,1.77
d_0,13.23,7.85,14.52,18.95,14.56,11.85,4.34,1.98,3.02,4.19,3.02,2.99,2.09,2.77,2.53,2.52
c_0,17.72,16.32,25.18,8.54,16.71,12.83,4.64,4.22,1.98,4.56,3.47,3.16,2.12,2.99,3.05,1.89
g_1,16.93,15.56,16.12,15.03,15.78,12.75,3.21,3.43,3.04,1.7,3.21,2.86,1.64,3.04,3.93,2.5
b_0,17.63,14.82,27.55,13.77,28.4,16.35,4.56,4.29,1.81,4.7,1.96,3.28,2.3,3.82,2.76,2.33
f_0,28.21,19.48,17.71,18.83,17.42,13.6,4.99,3.82,3.88,3.39,3.95,1.97,2.77,3.04,3.49,1.58
h_0,22.54,19.79,22.54,19.54,22.72,20.27,9.02,5.07,4.46,6.08,4.22,4.94,4.3,4.3,3.76,3.55
e_0,42.32,33.82,22.7,28.42,24.07,25.99,7.56,5.03,5.72,6.26,5.33,2.81,4.35,2.47,4.82,3.25
a_0,30.23,25.14,38.37,25.01,41.16,36.2,7.42,5.89,4.46,7.95,2.64,4.99,3.8,5.38,2.25,3.32
g_0,29.76,32.92,35.42,27.18,28.69,29.38,6.79,6.76,5.38,12.92,5.84,5.78,3.13,4.71,5.8,5.57
