,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.38,0.9,0.95,0.92,0.78,0.56,0.62,0.63,0.53,0.65,0.57,0.45,0.62,0.66,0.58
e_1,0.72,1.0,0.94,1.2,0.95,0.76,0.86,0.79,0.78,0.67,0.58,0.65,0.55,0.58,0.65,0.61
d_1,1.11,1.06,1.0,0.88,0.93,0.88,0.71,0.84,0.49,0.86,0.67,0.58,0.67,0.52,0.47,0.51
c_1,1.05,0.83,1.14,1.0,1.23,0.89,0.66,0.48,0.82,0.51,0.56,0.72,0.67,0.62,0.5,0.66
b_1,1.09,1.05,1.07,0.81,1.0,1.35,0.83,0.75,0.79,0.74,0.57,0.6,0.56,0.48,0.66,0.6
a_1,1.29,1.31,1.14,1.12,0.74,1.0,0.98,0.89,0.82,0.85,0.86,0.74,0.89,0.59,0.56,0.67
h_1,1.79,1.14,1.43,1.54,1.2,0.97,1.0,0.87,1.0,0.88,0.82,0.66,1.06,0.82,1.01,0.68
d_0,1.65,1.18,1.38,2.23,1.31,1.13,1.14,1.0,0.99,0.98,0.78,0.91,1.08,0.8,0.99,0.89
g_1,1.67,1.3,2.03,1.23,1.23,1.26,1.01,0.98,1.0,0.97,1.03,1.26,0.76,0.74,0.76,0.75
c_0,2.07,1.54,1.18,1.94,1.33,1.25,1.14,1.0,0.95,1.0,1.28,0.96,0.92,1.08,0.9,0.93
b_0,1.62,1.69,1.39,1.75,1.73,1.03,1.35,1.37,0.95,0.8,1.0,1.02,0.89,1.3,0.88,0.72
f_0,1.64,1.51,1.72,1.38,1.68,1.28,1.51,1.14,0.82,1.05,1.02,1.0,0.99,0.94,0.76,1.2
h_0,2.25,1.67,1.49,1.5,1.73,1.18,0.96,0.95,1.33,1.04,1.12,1.08,1.0,0.92,1.11,0.85
a_0,1.73,1.65,2.02,1.67,1.84,1.64,1.19,1.25,1.27,0.99,0.78,1.0,1.11,1.0,1.01,1.03
g_0,1.48,1.54,2.1,1.98,1.57,1.78,0.97,0.98,1.28,1.14,1.14,1.25,0.91,0.96,1.0,1.08
e_0,1.74,1.45,1.87,1.54,1.72,1.54,1.46,1.1,1.3,1.07,1.22,0.86,1.17,1.1,0.92,1.0
