,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.44,1.83,1.12,1.21,1.21,1.07,2.1,2.08,2.39,2.31,2.51,1.69,3.06,2.29,1.98,2.89
e_1,1.16,2.47,1.05,1.45,1.22,1.17,2.58,2.65,2.61,4.59,2.76,2.82,3.6,2.85,2.04,3.4
d_1,1.32,1.25,2.55,0.93,1.21,1.2,2.58,4.23,2.11,2.36,3.15,3.31,3.39,2.9,3.23,3.03
c_1,1.24,1.02,1.37,2.59,1.95,0.9,2.15,1.38,2.25,2.09,2.11,2.8,3.07,2.82,2.58,3.17
b_1,1.16,1.09,1.38,1.06,2.66,2.24,2.49,2.4,2.39,2.45,2.04,2.56,3.45,2.14,2.87,3.63
a_1,1.31,1.11,1.4,1.59,0.87,3.28,2.7,3.1,2.52,2.67,3.3,2.53,3.57,2.22,2.58,3.67
h_1,1.71,1.24,1.46,1.26,1.32,1.27,4.09,2.55,3.14,3.1,3.23,2.92,2.96,2.6,2.7,4.69
c_0,1.6,1.43,1.22,1.38,1.06,1.38,2.75,4.13,2.07,2.98,5.23,3.16,3.6,3.54,3.5,3.36
g_1,1.26,1.18,1.99,1.34,1.27,1.28,2.19,3.24,4.54,2.7,2.54,4.19,3.48,3.45,3.09,3.07
d_0,1.53,1.16,0.87,2.44,1.24,1.44,2.27,2.54,2.58,4.03,3.06,2.63,3.35,3.04,2.54,3.5
b_0,1.49,1.44,1.35,1.58,1.11,0.97,1.85,2.56,3.17,3.19,4.37,2.84,4.0,5.73,3.59,4.03
f_0,1.26,1.2,1.36,1.54,1.58,1.38,2.68,2.9,2.36,3.22,3.19,4.35,4.02,3.23,5.8,2.99
h_0,1.74,1.3,1.37,1.39,1.27,1.35,1.89,2.93,3.27,3.13,3.12,2.59,3.02,2.89,2.91,5.06
a_0,1.6,1.33,1.42,1.35,1.41,1.02,3.04,2.76,2.16,3.0,2.51,3.01,3.81,4.9,3.18,3.81
e_0,1.57,1.14,1.31,1.43,1.5,1.16,2.84,2.77,2.82,3.14,3.08,2.18,3.76,3.0,5.26,4.14
g_0,1.28,1.21,2.02,1.51,1.26,1.23,2.36,2.96,1.96,2.46,2.68,4.5,2.77,3.04,2.74,2.97
