,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.42,0.92,0.73,0.82,0.73,0.73,0.33,0.35,0.42,0.36,0.52,0.37,0.25,0.39,0.29,0.4
e_1,0.53,0.42,1.04,0.79,0.87,0.9,0.47,0.47,0.49,0.35,0.45,0.37,0.37,0.51,0.48,0.31
c_1,0.92,0.64,0.39,0.99,1.01,0.66,0.39,0.23,0.45,0.41,0.33,0.31,0.31,0.32,0.32,0.31
d_1,0.83,0.93,0.75,0.38,0.83,0.72,0.48,0.58,0.31,0.41,0.36,0.43,0.33,0.38,0.34,0.22
b_1,0.91,0.86,0.48,0.84,0.35,1.03,0.46,0.39,0.49,0.41,0.35,0.5,0.32,0.35,0.4,0.29
a_1,0.94,0.78,0.89,0.91,0.46,0.31,0.49,0.42,0.45,0.44,0.36,0.4,0.32,0.38,0.56,0.33
h_1,0.8,0.7,0.8,0.68,0.69,0.65,0.24,0.29,0.41,0.3,0.3,0.34,0.28,0.26,0.31,0.27
d_0,0.77,0.45,0.98,1.01,0.71,0.62,0.44,0.25,0.46,0.34,0.36,0.38,0.29,0.29,0.33,0.41
g_1,0.79,0.69,0.76,0.72,0.69,0.8,0.29,0.33,0.22,0.27,0.36,0.29,0.21,0.31,0.34,0.31
c_0,0.77,0.74,1.25,0.43,0.78,0.69,0.41,0.37,0.43,0.24,0.31,0.43,0.31,0.33,0.4,0.28
f_0,1.07,0.63,0.78,0.63,0.78,0.7,0.45,0.31,0.28,0.32,0.23,0.33,0.3,0.39,0.34,0.2
b_0,0.78,0.69,1.0,0.58,1.12,0.77,0.38,0.33,0.39,0.19,0.31,0.22,0.25,0.28,0.37,0.28
h_0,0.83,0.65,0.75,0.71,0.67,0.65,0.56,0.34,0.45,0.31,0.29,0.32,0.33,0.28,0.31,0.29
e_0,0.89,0.78,0.85,0.64,0.73,0.66,0.47,0.37,0.36,0.27,0.18,0.3,0.29,0.19,0.33,0.25
a_0,0.9,0.69,0.79,0.71,0.72,0.74,0.43,0.33,0.34,0.27,0.34,0.2,0.27,0.27,0.19,0.31
g_0,0.72,0.78,0.69,0.81,0.68,0.68,0.31,0.29,0.51,0.34,0.32,0.31,0.23,0.28,0.3,0.32
