,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,106.08,66.04,108.53,82.02,107.46,431.35,11199.66,30508.62,22891.46,25098.09,42940.79,56864.56,113824.62,141116.57,143692.22,248898.43
f_1,93.14,113.26,79.98,78.69,98.1,418.89,8948.45,19335.33,23554.91,22604.73,42377.04,38657.56,98855.2,112972.24,139947.41,226089.77
c_1,48.51,63.67,136.15,87.02,143.51,394.33,9536.48,13376.31,17870.98,23549.82,33072.43,47751.08,77051.4,121748.01,162110.38,208464.17
d_1,58.34,68.3,60.21,140.53,91.65,392.52,10861.57,12516.06,35916.61,23823.75,49139.71,45896.37,105906.52,127241.24,170462.74,167170.47
b_1,50.85,59.94,73.29,78.74,162.06,579.41,9590.09,15318.6,21835.72,20554.09,28427.52,38239.25,76044.8,116330.3,146049.13,210345.32
a_1,35.65,37.01,48.94,51.69,48.09,524.15,6551.98,10769.69,12608.33,14708.22,22816.26,28019.54,57135.54,73040.69,109039.11,146756.43
h_1,13.93,22.04,19.84,21.19,24.53,93.01,3728.95,4115.78,5462.06,7642.23,10883.29,11545.18,26306.44,25569.63,42844.18,62483.44
d_0,10.62,14.14,29.42,15.32,23.65,73.96,2117.67,5017.71,4114.53,5986.7,7065.76,9610.23,20197.72,27587.48,34091.72,43941.01
c_0,11.8,14.42,15.73,16.02,16.96,81.25,2283.96,3706.57,6304.61,5581.16,13621.23,11712.73,23380.42,24988.7,30213.0,41772.12
g_1,10.58,11.33,15.16,21.98,19.57,73.05,1658.23,2548.16,4506.86,7541.62,7635.02,12202.68,18578.51,21021.02,37882.84,32344.49
b_0,9.08,10.7,14.48,14.2,14.89,78.16,1746.52,3194.73,3783.25,4430.06,9681.02,8692.73,27291.93,20815.16,29820.03,38510.34
f_0,7.41,10.02,12.78,13.87,17.65,68.8,1789.15,3024.52,3691.74,3785.17,7248.29,10826.67,17190.37,23556.53,46990.22,29992.38
a_0,7.04,8.77,11.5,10.49,12.91,41.29,1408.32,2396.23,3141.38,3278.46,4721.02,5910.66,18054.86,16615.8,20879.78,27995.34
h_0,6.9,9.99,10.06,10.39,11.59,51.07,1016.15,2075.34,3061.53,3796.39,5246.91,5655.98,11514.15,14369.53,20672.02,35664.61
e_0,5.21,8.12,7.92,9.75,10.91,35.64,1239.74,1885.66,2886.43,2789.48,4612.28,4169.89,11312.18,13845.84,26110.19,26954.89
g_0,5.51,6.22,7.81,12.43,9.55,37.81,1055.16,1632.69,2768.08,2155.43,3680.6,6828.98,9421.96,10942.25,16738.09,21215.23
