,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,2.42,5.09,4.53,4.76,4.42,1.49,1.62,0.88,0.9,0.99,0.93,1.05,0.62,4.02,0.83
f_1,3.97,0.43,4.27,5.42,4.06,5.07,0.96,1.54,0.82,0.7,0.74,3.36,0.91,0.43,0.99,0.7
d_1,5.69,4.62,0.43,3.94,4.35,4.35,1.23,0.84,0.83,6.57,0.91,0.92,0.9,0.67,0.77,0.43
c_1,3.88,5.53,5.28,0.42,4.98,4.27,1.12,0.98,2.9,0.5,0.99,0.88,0.74,0.71,1.36,0.59
b_1,6.2,5.02,4.58,2.45,0.41,4.69,1.42,1.45,1.22,1.08,6.15,0.92,1.24,0.82,0.75,0.72
a_1,6.32,5.72,6.14,6.1,3.26,0.33,1.83,2.52,1.41,1.17,1.58,1.19,4.01,0.93,0.91,0.87
h_1,4.35,4.99,4.37,5.2,5.49,4.25,0.37,1.28,1.08,0.98,1.08,0.97,0.91,1.63,1.05,0.83
g_1,4.84,7.01,5.49,6.83,6.17,4.86,1.41,0.32,1.11,1.39,1.14,1.1,1.3,0.57,0.97,1.47
c_0,6.28,5.7,2.75,25.53,5.85,7.05,1.69,1.89,0.43,1.68,0.95,1.21,1.18,0.68,0.86,0.85
d_0,3.02,5.57,20.67,5.95,6.57,5.87,1.73,1.94,1.49,0.43,1.36,1.31,1.08,0.75,1.02,1.0
b_0,5.2,6.58,4.65,8.99,11.88,5.63,1.42,1.74,0.58,1.34,0.39,1.05,1.15,0.83,0.96,0.85
f_0,6.91,17.25,5.48,5.4,6.42,5.21,1.88,0.97,1.1,1.26,1.09,0.38,1.45,0.98,1.28,0.5
a_0,6.5,5.6,7.93,8.5,8.21,23.37,2.16,2.02,1.03,2.05,0.61,1.85,0.35,0.88,1.08,1.49
h_0,5.67,7.93,7.32,8.81,6.4,6.77,4.14,1.97,1.25,1.9,1.16,1.63,1.55,3.47,1.17,1.01
e_0,17.37,9.68,7.51,6.81,5.91,7.24,2.3,1.97,1.5,1.9,1.61,0.71,1.63,1.45,0.36,0.72
g_0,7.8,9.38,6.81,8.71,8.07,7.4,1.66,5.71,1.38,1.94,1.38,1.41,1.28,0.84,1.2,2.57
