,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.27,0.59,0.55,0.45,0.37,0.45,0.74,0.67,1.7,0.98,0.94,0.76,0.84,1.1,0.38,1.24
f_1,0.92,2.37,0.53,0.4,0.4,0.29,0.63,0.72,1.0,1.01,0.96,0.27,0.71,1.28,0.68,0.88
c_1,0.41,0.47,2.42,0.44,0.82,0.34,0.85,0.77,1.0,0.76,0.29,1.13,0.89,1.2,0.76,1.17
d_1,0.41,0.47,0.41,2.45,0.46,0.38,1.07,0.98,0.55,1.34,1.92,1.04,0.8,1.02,0.96,0.93
b_1,0.47,0.51,0.45,0.45,2.56,0.79,0.93,0.62,0.84,0.33,1.01,0.79,0.65,1.39,0.73,1.15
a_1,0.49,0.53,0.48,0.54,0.42,2.9,1.2,0.84,0.95,0.93,0.89,0.82,0.48,1.35,0.77,1.04
h_1,0.55,0.84,0.46,0.61,0.61,0.33,3.09,1.3,1.18,1.18,1.2,0.94,0.9,0.84,1.24,1.88
g_1,0.56,0.54,0.54,0.96,0.47,0.34,1.03,3.3,0.97,1.17,1.04,1.78,0.7,1.34,1.14,0.79
d_0,0.57,0.63,1.17,0.25,0.62,0.41,0.97,0.83,2.54,1.32,0.86,1.1,1.03,1.63,1.08,1.19
b_0,0.67,0.6,0.62,0.71,0.21,0.4,1.13,1.02,1.06,2.76,1.49,1.38,2.39,1.72,1.17,1.45
c_0,0.69,0.63,0.36,0.69,0.35,0.52,1.09,0.98,1.33,2.55,2.62,1.22,1.25,1.63,1.25,1.37
f_0,0.51,0.27,0.69,0.63,0.66,0.41,1.12,1.09,1.26,1.38,1.15,3.06,1.31,1.7,2.51,1.33
a_0,0.58,0.64,0.59,0.7,0.64,0.19,0.94,0.88,1.27,1.43,1.23,1.07,2.97,2.11,1.15,1.63
h_0,0.64,0.9,0.63,0.66,0.47,0.4,0.6,1.37,1.01,1.19,1.11,1.11,1.05,0.77,0.8,1.58
e_0,0.42,0.76,0.65,0.59,0.49,0.37,1.06,0.93,1.19,1.46,1.29,1.46,1.45,1.87,2.89,1.72
g_0,0.67,0.48,0.55,0.99,0.5,0.44,0.91,0.49,1.07,1.64,1.27,1.92,1.2,1.42,1.05,1.09
