,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.41,1.07,0.98,0.97,1.78,0.88,1.92,1.66,2.0,1.16,2.12,1.2,2.73,1.72,1.55,2.37
f_1,1.07,2.42,1.05,1.63,0.93,0.7,1.85,1.62,2.23,1.96,1.2,2.07,2.3,1.1,1.88,2.04
d_1,0.94,1.21,2.46,0.99,0.93,0.71,2.15,1.88,1.59,3.81,2.3,2.96,2.82,2.08,1.96,2.61
e_1,1.31,1.06,0.91,2.48,1.02,0.75,1.84,1.86,3.84,1.79,2.05,2.08,2.63,1.29,1.83,2.65
b_1,1.09,1.03,1.01,0.95,2.56,1.63,1.91,1.67,1.96,1.89,1.93,1.5,2.74,1.72,1.4,2.3
a_1,1.21,1.23,0.95,0.89,0.97,3.12,1.98,1.99,2.22,2.25,2.38,2.12,2.73,2.27,1.63,2.33
h_1,1.16,1.44,1.21,1.06,0.96,0.84,3.43,2.35,2.04,2.23,2.33,2.37,2.22,1.71,2.11,3.19
g_1,1.07,1.1,1.71,0.93,1.01,0.78,2.43,3.7,1.97,2.5,3.44,2.19,2.5,2.26,1.87,2.32
d_0,1.86,1.17,0.82,1.1,1.24,0.84,1.98,1.85,3.36,1.47,2.27,1.83,2.44,1.65,1.94,2.57
c_0,1.08,1.27,1.3,1.11,0.8,0.75,2.39,2.02,2.31,3.55,2.32,4.26,3.04,2.2,2.53,3.0
f_0,1.19,0.96,1.33,0.9,1.13,0.98,2.34,2.13,2.12,2.4,3.52,2.42,3.0,3.9,2.12,2.91
b_0,1.17,1.35,1.19,1.14,0.77,0.65,2.35,1.91,2.38,2.37,1.9,3.46,3.19,1.93,4.08,2.93
h_0,1.19,1.4,1.22,1.09,0.96,0.84,1.71,2.47,2.17,2.14,2.42,2.28,2.2,2.01,2.27,3.29
e_0,1.24,1.37,1.21,0.82,1.12,1.08,2.47,2.2,1.91,1.94,2.35,2.16,3.21,3.82,2.03,2.97
a_0,1.13,1.19,1.33,1.12,1.1,0.57,2.42,2.16,2.19,2.16,1.96,2.19,2.85,2.01,3.69,2.89
g_0,1.21,0.99,1.63,0.92,1.08,0.63,1.94,1.68,2.06,2.53,3.2,2.51,3.0,2.32,2.21,2.64
