,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.07,2.04,3.02,3.22,3.02,2.91,1.31,1.0,0.94,1.02,0.98,1.09,0.75,0.74,0.98,2.12
f_1,3.69,1.07,3.01,2.91,2.6,2.55,0.96,0.92,0.89,1.26,0.9,1.88,0.52,0.83,0.74,0.61
d_1,4.51,3.65,1.07,3.33,2.98,2.92,1.38,1.61,1.07,0.86,0.94,0.89,0.81,0.73,0.53,0.82
c_1,3.38,4.08,4.2,1.07,4.57,3.02,1.45,0.71,2.01,1.18,1.07,0.93,0.71,1.2,0.77,0.74
b_1,4.15,4.25,4.93,2.6,1.07,4.17,1.53,1.41,1.62,1.75,2.0,0.9,1.08,0.98,0.87,1.11
a_1,5.55,5.44,5.42,5.85,3.35,1.07,1.76,1.99,1.66,2.27,1.88,1.47,1.15,,1.24,1.22
h_1,5.99,8.42,6.96,6.62,6.91,6.04,1.38,2.22,1.88,2.94,1.92,2.23,3.48,1.59,1.69,1.76
d_0,5.73,9.6,17.02,9.87,7.31,6.47,3.18,1.68,2.79,3.5,2.87,2.63,2.08,1.96,1.98,2.3
c_0,9.55,9.95,5.16,21.36,7.4,8.38,3.96,3.16,1.65,2.95,3.2,2.85,2.17,2.61,1.89,2.63
g_1,10.11,10.94,8.95,11.26,8.24,6.84,3.12,2.8,2.82,1.38,2.85,2.47,1.6,2.74,3.15,2.98
b_0,8.2,9.77,8.95,12.18,17.03,8.28,3.89,2.82,1.65,3.29,1.61,2.17,2.28,2.72,1.91,2.99
f_0,10.06,22.0,8.99,9.55,13.84,10.64,3.66,2.89,2.52,2.51,2.67,1.64,2.75,2.29,1.38,2.76
h_0,11.22,16.08,11.42,16.18,11.11,10.66,6.3,3.49,3.38,5.54,3.21,2.93,4.72,2.7,2.89,2.92
a_0,11.8,14.17,14.99,11.13,18.41,,5.96,4.98,3.19,6.14,2.25,3.61,3.99,1.69,2.69,3.71
g_0,12.63,17.51,14.11,13.09,14.22,11.42,4.64,4.52,3.9,,3.75,4.41,2.85,4.85,4.31,3.71
e_0,23.18,24.71,12.8,13.79,13.01,10.17,6.17,4.05,4.06,4.32,3.54,2.18,2.68,4.2,2.56,1.67
