,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.43,0.41,0.56,0.45,0.32,0.52,0.58,0.51,0.83,0.58,0.56,0.54,0.51,0.22,0.51
f_1,0.75,1.51,0.45,0.51,0.37,0.28,0.53,0.37,0.43,0.52,0.57,0.22,0.49,0.48,0.46,0.57
d_1,0.44,0.5,1.53,0.35,0.47,0.43,0.52,0.5,0.9,0.32,0.56,0.47,0.7,0.5,0.49,0.42
c_1,0.43,0.47,0.53,1.57,0.74,0.35,0.48,0.43,0.23,0.5,0.4,0.57,0.55,0.54,0.48,0.59
b_1,0.44,0.52,0.52,0.37,1.6,0.67,0.67,0.5,0.58,0.52,0.24,0.62,0.7,0.27,0.47,0.58
a_1,0.6,0.6,0.42,0.45,0.38,1.73,0.68,0.55,0.67,0.62,0.57,0.44,0.7,,0.56,0.74
h_1,0.76,0.95,0.72,0.71,0.56,0.61,1.66,1.07,0.94,0.8,0.86,0.69,0.34,0.72,0.62,0.96
g_1,0.62,0.75,1.08,0.82,0.62,0.61,0.73,1.75,0.88,0.83,0.79,1.04,0.89,0.6,0.69,0.46
c_0,0.89,0.9,0.73,0.51,0.59,0.72,0.83,0.79,1.52,0.96,1.62,0.92,0.9,0.9,0.86,0.88
d_0,0.74,0.87,0.39,1.13,0.71,0.57,0.98,0.74,0.87,1.54,1.12,1.03,1.0,0.75,0.75,0.87
b_0,0.8,0.85,0.86,0.81,0.46,0.59,0.97,0.96,0.87,0.84,1.56,0.94,0.92,1.39,0.73,0.91
f_0,0.68,0.6,0.92,0.84,0.74,0.83,1.06,0.96,0.95,0.87,1.09,1.51,1.05,0.72,1.21,0.71
h_0,0.82,1.12,0.91,0.81,0.6,0.61,0.68,1.01,0.95,0.81,0.97,0.78,0.58,0.56,0.84,1.17
a_0,0.77,0.85,0.87,0.7,1.1,,0.88,0.96,0.88,1.04,0.84,1.17,1.18,1.66,0.73,0.85
e_0,0.55,0.99,0.8,0.96,0.79,0.67,1.11,0.84,0.96,1.26,1.09,0.85,0.98,0.79,1.68,1.09
g_0,0.79,0.67,1.2,0.88,0.72,0.58,0.81,0.7,1.08,0.95,1.15,1.55,0.8,0.87,0.63,0.52
