,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.9,0.39,0.2,0.21,0.16,0.1,0.18,0.13,0.18,0.18,0.18,0.08,0.2,0.12,0.07,0.15
e_1,0.26,0.89,0.26,0.17,0.18,0.11,0.2,0.16,0.36,0.2,0.19,0.15,0.18,0.13,0.06,0.17
c_1,0.22,0.18,0.89,0.24,0.32,0.12,0.18,0.15,0.19,0.06,0.14,0.15,0.21,0.11,0.13,0.15
d_1,0.25,0.21,0.17,0.9,0.19,0.12,0.21,0.16,0.08,0.36,0.22,0.17,0.2,0.14,0.12,0.15
b_1,0.23,0.2,0.22,0.2,0.88,0.24,0.21,0.16,0.2,0.19,0.06,0.17,0.17,0.12,0.13,0.16
a_1,0.23,0.26,0.19,0.27,0.16,0.88,0.22,0.15,0.16,0.2,0.17,0.16,0.17,0.05,0.11,0.11
h_1,0.36,0.26,0.26,0.28,0.21,0.12,0.58,0.24,0.22,0.22,0.2,0.18,0.15,0.15,0.14,0.31
g_1,0.25,0.17,0.27,0.42,0.21,0.15,0.23,0.56,0.2,0.23,0.23,0.33,0.23,0.18,0.2,0.14
d_0,0.26,0.26,0.51,0.14,0.21,0.15,0.24,0.16,0.41,0.17,0.24,0.19,0.25,0.13,0.15,0.23
c_0,0.36,0.26,0.17,0.29,0.17,0.18,0.28,0.16,0.24,0.42,0.42,0.2,0.25,0.19,0.17,0.18
b_0,0.33,0.3,0.28,0.27,0.12,0.13,0.23,0.2,0.23,0.24,0.44,0.18,0.29,0.33,0.16,0.23
f_0,0.2,0.2,0.33,0.26,0.22,0.18,0.31,0.22,0.29,0.26,0.18,0.45,0.28,0.11,0.37,0.24
h_0,0.41,0.28,0.28,0.27,0.21,0.13,0.13,0.26,0.21,0.2,0.2,0.2,0.17,0.16,0.12,0.29
a_0,0.33,0.3,0.29,0.26,0.24,0.12,0.26,0.14,0.17,0.2,0.21,0.17,0.27,0.4,0.09,0.2
e_0,0.33,0.15,0.28,0.24,0.23,0.19,0.27,0.24,0.28,0.22,0.21,0.24,0.32,0.16,0.42,0.21
g_0,0.25,0.24,0.28,0.41,0.2,0.14,0.22,0.16,0.21,0.23,0.17,0.32,0.26,0.16,0.17,0.13
