,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.96,0.73,0.85,0.98,0.72,0.37,0.57,0.39,0.4,0.37,0.72,0.28,0.44,0.37,0.37
e_1,0.55,0.41,0.94,1.02,0.88,0.94,0.57,0.49,0.42,0.49,0.46,0.49,0.38,0.42,0.39,0.74
d_1,0.97,0.92,0.4,0.8,0.85,0.86,0.42,0.36,0.46,0.69,0.43,0.39,0.32,0.35,0.26,0.38
c_1,1.01,0.72,1.01,0.38,0.99,0.81,0.47,0.41,0.51,0.23,0.34,0.36,0.32,0.38,0.34,0.32
b_1,0.91,0.88,0.94,0.57,0.37,1.08,0.58,0.52,0.47,0.39,0.62,0.37,0.36,0.36,0.36,0.41
a_1,1.07,0.81,0.9,1.09,0.55,0.31,0.5,0.54,0.31,0.43,0.43,0.34,0.38,0.66,0.29,0.42
h_1,0.9,0.74,0.78,0.84,0.68,0.74,0.25,0.47,0.36,0.35,0.37,0.3,0.37,0.33,0.31,0.33
g_1,0.78,0.85,0.81,0.89,0.79,0.72,0.33,0.23,0.33,0.29,0.32,0.41,0.23,0.32,0.34,0.32
c_0,0.91,0.78,0.48,1.39,0.75,0.88,0.39,0.43,0.26,0.44,0.43,0.36,0.3,0.41,0.3,0.36
d_0,0.78,0.49,0.96,1.03,0.86,0.72,0.42,0.51,0.33,0.26,0.36,0.32,0.29,0.42,0.32,0.35
b_0,0.88,0.82,0.67,1.08,1.04,0.63,0.41,0.39,0.22,0.35,0.23,0.32,0.3,0.4,0.3,0.36
f_0,1.01,0.74,0.76,0.72,0.79,0.78,0.48,0.3,0.32,0.36,0.35,0.23,0.28,0.32,0.23,0.37
h_0,0.84,0.73,0.73,0.88,0.72,0.64,0.54,0.46,0.34,0.38,0.34,0.36,0.4,0.32,0.32,0.28
a_0,0.74,0.73,0.83,0.9,0.92,0.9,0.44,0.45,0.31,0.36,0.22,0.33,0.25,0.2,0.29,0.33
g_0,0.83,0.71,0.84,0.8,0.8,0.77,0.31,0.52,0.33,0.36,0.33,0.37,0.23,0.32,0.38,0.39
e_0,1.05,1.04,0.75,0.81,0.83,0.72,0.38,0.38,0.33,0.31,0.3,0.18,0.4,0.41,0.24,0.19
