,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,0.9,0.92,0.92,0.74,0.49,0.48,0.49,0.35,,0.41,0.32,0.28,0.35,0.27
e_1,0.83,1.0,1.07,0.94,0.83,0.8,0.46,0.35,0.55,0.4,0.44,0.4,0.38,,0.28,0.32
c_1,1.11,0.93,1.0,0.87,1.17,0.65,0.51,0.55,0.32,,0.37,0.29,0.44,0.4,0.29,0.4
d_1,1.08,1.07,1.15,1.0,1.07,,0.53,0.36,,0.65,0.33,0.39,0.4,0.31,0.26,0.24
b_1,1.08,1.21,0.85,0.94,1.0,1.23,0.63,0.46,0.53,0.58,0.48,,0.36,0.32,0.39,0.28
a_1,1.36,1.25,1.54,,0.81,1.0,0.66,0.58,0.6,,0.65,0.59,0.49,,,
h_1,2.06,2.17,1.97,1.89,1.58,1.5,1.0,1.1,0.79,0.92,1.01,0.72,,0.72,0.62,0.73
g_1,2.08,2.84,1.81,2.76,2.16,1.72,0.91,1.0,1.15,0.84,1.65,0.97,0.49,0.68,0.69,
d_0,2.06,1.83,3.16,,1.9,1.67,1.26,0.87,1.0,0.97,0.85,0.91,0.88,0.6,1.01,0.74
c_0,2.86,2.5,,1.55,1.74,,1.09,1.19,1.04,1.0,1.0,1.37,0.92,0.66,0.75,0.81
f_0,,2.27,2.68,3.0,2.1,1.54,0.99,0.61,1.17,1.0,1.0,0.94,1.0,1.27,,0.68
b_0,2.46,2.51,3.41,2.55,,1.7,1.4,1.03,1.1,0.73,1.07,1.0,1.34,,1.26,0.71
h_0,3.08,2.66,2.25,2.5,2.79,2.03,,2.06,1.14,1.09,1.0,0.75,,1.31,0.99,1.07
e_0,3.56,,2.49,3.2,3.12,,1.39,1.47,1.66,1.51,0.79,,0.76,1.0,1.1,0.99
a_0,2.87,3.58,3.42,3.83,2.55,,1.62,1.45,0.99,1.33,,0.8,1.01,0.91,1.0,1.22
g_0,3.68,3.15,2.5,4.09,3.53,,1.38,,1.36,1.24,1.48,1.4,0.93,1.01,0.82,
