,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,112.39,32.61,64.58,46.07,49.75,226.22,4416.26,8109.88,11933.59,13812.89,7108.97,22156.94,46386.62,80277.29,81612.48,55470.29
d_1,42.59,116.04,38.24,37.28,59.3,154.29,4752.4,9133.38,6868.99,25395.28,19870.35,25923.98,65091.74,73117.88,77602.75,76354.15
e_1,29.65,30.65,119.13,45.63,66.54,246.15,5228.15,8265.42,17930.08,16905.22,19368.64,25609.16,64414.13,87556.49,63844.49,42280.65
c_1,34.01,37.56,31.89,138.27,95.39,139.59,4147.87,7067.37,9726.78,5379.01,15647.63,17692.35,54038.3,73506.57,71467.09,91343.01
b_1,33.69,30.75,27.94,34.09,178.51,293.87,4333.58,7258.19,9382.87,14085.3,14956.32,9563.09,43270.92,72818.81,51782.33,80772.04
a_1,19.01,24.94,18.11,28.89,26.69,517.13,2793.95,5033.21,6675.7,8924.73,11558.01,12791.55,29198.68,41572.55,,40900.75
h_1,13.94,10.64,10.01,17.42,16.64,58.84,3013.51,3805.36,3591.1,4849.51,5545.43,8581.42,10867.59,34723.53,23932.39,33529.92
g_1,8.45,12.26,9.56,14.54,13.16,60.08,916.45,5144.65,2714.54,4463.86,6057.85,6181.58,12219.32,9315.67,17673.28,22908.55
d_0,8.68,6.23,7.89,18.07,16.07,58.16,1291.33,2549.33,4920.07,3561.14,3502.63,5478.68,11725.62,17896.72,21267.89,20492.19
c_0,8.65,7.41,8.73,7.8,12.24,59.27,1212.44,2417.16,2934.25,6193.19,5286.14,9020.54,14021.66,18747.28,22167.69,22112.55
f_0,4.52,8.84,7.62,10.77,14.65,47.64,1130.39,2200.0,2703.94,3488.37,7067.09,5485.58,11616.31,16055.04,18098.67,34794.3
b_0,7.59,8.34,6.18,12.32,7.28,41.81,869.32,1534.34,2653.61,2445.93,3941.18,8128.32,12046.97,15183.6,27659.66,18702.34
h_0,7.82,5.98,5.1,6.42,10.6,33.42,444.14,1895.11,1659.58,2355.55,3431.1,3299.01,5102.79,15518.66,12407.08,12083.5
g_0,4.28,7.3,4.77,6.57,7.21,30.81,597.17,1026.68,1633.76,2408.26,3445.37,3877.6,6182.83,6659.59,10281.29,12857.3
a_0,4.38,5.74,5.53,6.67,8.06,,739.68,1134.65,1531.4,1351.09,2683.16,2440.35,8106.85,12934.8,21890.29,9062.09
e_0,5.03,5.93,2.88,5.58,7.37,32.44,629.4,1484.79,1525.1,2094.28,2016.9,3609.26,8778.61,11596.49,14773.09,23891.99
