,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.12,2.43,5.43,4.54,4.46,4.22,1.5,0.98,0.87,1.33,1.03,1.04,0.87,0.7,1.64,0.72
f_1,4.11,1.12,4.42,4.07,4.64,4.45,0.9,0.9,0.86,1.54,0.92,1.5,0.78,0.48,0.75,0.68
c_1,3.9,5.7,1.12,6.42,3.79,4.36,1.6,0.61,1.92,1.32,1.02,0.96,0.9,0.74,1.05,0.76
d_1,5.98,5.53,4.39,1.11,4.69,4.48,1.3,2.06,0.87,0.91,0.94,1.13,0.89,0.68,0.84,0.42
b_1,5.0,6.19,2.96,5.1,1.13,5.23,1.52,1.13,1.39,1.57,1.98,1.04,1.3,0.79,1.09,0.84
a_1,8.3,7.56,9.47,8.71,5.0,1.14,2.63,2.17,1.9,2.79,1.75,1.77,2.95,1.45,1.99,1.28
h_1,15.64,17.65,17.52,13.4,14.55,12.03,1.71,4.09,3.05,5.04,3.24,3.28,3.04,4.45,2.55,2.34
d_0,9.77,17.14,22.41,33.93,20.19,17.39,5.32,2.12,4.08,7.72,4.02,3.37,3.26,2.61,3.53,3.27
c_0,23.5,21.24,36.2,10.34,22.24,21.74,5.58,5.34,2.24,5.92,3.57,3.92,2.99,2.68,3.29,2.52
g_1,22.91,25.89,21.53,17.9,23.98,19.52,4.15,4.58,3.81,1.75,3.72,3.83,4.44,2.04,3.35,4.71
b_0,24.45,22.88,30.5,17.42,40.92,25.17,5.86,6.73,2.49,6.56,2.19,3.98,4.59,3.09,4.5,3.44
f_0,20.02,44.34,24.58,25.05,26.46,22.51,7.4,5.56,4.25,4.21,4.61,2.15,4.93,3.77,4.89,2.09
a_0,27.39,29.81,38.75,26.92,44.48,39.04,8.57,7.14,5.06,8.84,3.15,5.85,2.52,5.08,5.7,4.58
h_0,30.11,36.57,31.08,28.08,29.51,29.89,13.8,6.19,6.43,8.71,6.6,5.19,6.41,5.35,5.1,4.46
e_0,59.72,47.29,36.2,30.16,36.98,30.85,8.95,8.75,7.96,7.72,7.54,3.83,6.97,4.77,2.65,5.0
g_0,36.07,38.98,38.3,39.72,36.11,28.55,8.95,9.46,8.49,21.79,7.54,8.08,8.6,3.96,6.71,7.17
