,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.4,1.04,1.5,1.91,4.55,17.59,35.01,34.4,33.81,46.19,,77.78,86.61,84.36,131.28
e_1,0.71,1.0,1.11,1.37,1.56,3.13,14.86,29.11,31.1,43.16,46.15,47.59,73.83,68.48,,91.21
d_1,0.97,0.9,1.0,1.94,1.31,3.49,16.53,22.15,37.33,,34.17,36.81,68.4,62.36,100.1,96.46
c_1,0.67,0.73,0.51,1.0,1.85,2.72,13.33,26.08,,14.73,34.45,37.49,66.27,52.91,73.21,111.18
b_1,0.52,0.64,0.76,0.54,1.0,2.69,12.73,19.84,19.61,20.37,,26.63,41.08,46.47,61.37,65.75
a_1,0.22,0.32,0.29,0.37,0.37,1.0,4.53,6.72,7.39,9.75,,,24.0,,,37.27
h_1,0.06,0.07,0.06,0.08,0.08,0.22,1.0,1.75,1.84,1.96,2.16,2.68,,5.03,5.8,8.34
g_1,0.03,0.03,0.05,0.04,0.05,0.15,0.57,1.0,1.35,1.25,1.28,1.99,2.62,2.55,4.65,
c_0,0.03,0.03,0.03,,0.05,0.14,0.54,0.74,1.0,1.06,1.84,1.55,2.47,2.78,2.68,3.75
d_0,0.03,0.02,,0.07,0.05,0.1,0.51,0.8,0.94,1.0,1.09,1.23,2.28,2.43,2.84,3.89
b_0,0.02,0.02,0.03,0.03,,,0.46,0.78,0.54,0.92,1.0,0.87,2.63,2.79,2.62,4.12
f_0,,0.02,0.03,0.03,0.04,,0.37,0.5,0.65,0.82,1.15,1.0,1.43,1.42,2.82,1.83
h_0,0.01,0.01,0.01,0.02,0.02,0.04,,0.38,0.41,0.44,0.38,0.7,,0.8,1.05,2.24
a_0,0.01,0.01,0.02,0.02,0.02,,0.2,0.39,0.36,0.41,0.36,0.7,1.26,1.0,,1.35
e_0,0.01,,0.01,0.01,0.02,,0.17,0.22,0.37,0.35,0.38,0.35,0.95,,1.0,1.24
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.12,,0.27,0.26,0.24,0.55,0.45,0.74,0.81,
