,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,8805.09,2258.73,1588.5,2104.61,3038.73,10191.06,1470474.27,3737103.48,4301372.0,5096423.88,7851414.99,3855480.39,38566144.63,44042010.84,89056161.44,75747082.04
e_1,878.08,10796.89,1308.69,2504.55,4545.62,13844.45,1141128.49,3135424.39,9164133.15,7559591.19,7308771.87,15130650.41,28011109.33,37216944.53,102778324.46,14667920.11
d_1,1091.57,792.63,17315.91,1641.94,3133.87,13009.23,1745994.79,3897761.27,1206870.76,13647765.59,9384489.68,18421011.07,42019147.68,36880950.44,100731348.82,99325905.2
c_1,893.62,1182.55,1382.96,23800.63,6761.69,12114.49,1680475.72,3173553.59,4415689.5,1592525.66,4959778.7,18435797.83,33137901.64,46832119.14,91793015.99,75245558.2
b_1,982.38,1136.61,1424.36,2519.32,46707.93,22562.85,1633650.01,2700373.21,4014250.51,6399022.68,1352082.35,11304832.75,47510886.81,22849807.28,120574030.2,98460707.29
a_1,1100.47,900.28,2038.05,1694.8,4060.93,218470.33,1581923.22,3325668.14,4136658.73,6043372.04,7732881.42,16596716.43,48008143.45,14105520.31,79021195.51,80445752.23
h_1,2488.76,1933.27,2756.92,3794.46,4698.57,16876.23,10316832.84,6600372.66,7495869.37,13342311.26,13974667.42,20436001.34,24620825.88,74467357.53,277376397.87,179159527.99
g_1,1506.94,1515.94,4351.08,3800.12,5273.51,18794.87,2546386.09,28249982.08,7091068.37,9871843.89,12470538.2,40829798.72,52187486.64,75279728.7,71950742.5,127529715.22
d_0,2000.13,1561.46,967.93,7695.65,6008.91,21007.13,2297448.34,4430188.67,22270394.67,11304734.67,14887897.0,25796531.6,46311650.99,46965562.08,164788678.16,239656300.66
c_0,2028.36,1671.95,3570.15,1562.73,4568.47,18922.14,3132971.75,5476269.52,8976849.28,34740399.18,28526693.16,23965817.57,80656374.93,89448581.07,249539709.82,229948455.42
b_0,2109.68,1690.54,3489.28,4112.69,2247.89,20207.86,2875880.77,7322257.93,8792206.32,13156946.61,40627696.7,23321543.32,66496850.33,135932240.43,223100675.12,212927464.22
f_0,378.34,1654.04,4155.64,4205.35,6471.25,23345.38,2964073.92,5972715.73,10839634.21,18295102.0,14318025.34,92035385.86,61321751.31,80189276.22,256296588.97,365812661.39
h_0,2377.45,1853.11,3002.99,3984.85,6272.67,17508.75,1064332.16,7397826.8,7686881.35,11347074.5,13449291.22,24274826.09,16406506.89,74433889.05,220541152.3,155357720.5
a_0,2040.68,1620.29,3333.36,3384.21,6523.09,6999.21,3147526.6,4918580.01,8361286.92,10652844.2,14620093.39,32817106.66,75088324.67,297688446.15,226274025.83,271003749.27
g_0,1570.65,1629.0,5548.77,3610.7,5210.07,22176.65,1741278.72,2222201.59,8326155.46,10450927.55,13896906.95,36713691.22,53683055.64,65759057.13,97934634.59,170539736.83
e_0,2518.96,493.84,3214.66,4125.81,5633.04,16290.25,2679992.77,6162984.13,8919351.2,14141687.21,15879456.09,25190543.12,74642643.73,102231730.33,210950821.1,770910871.13
