,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.98,0.89,1.67,2.16,3.08,22.73,26.04,39.85,31.57,53.29,43.77,92.05,113.69,124.66,156.42
d_1,0.99,1.0,1.13,1.16,1.59,3.03,19.2,18.08,25.36,36.57,38.02,42.32,71.34,81.54,105.43,102.54
f_1,1.12,0.88,1.0,1.3,1.42,2.34,16.61,20.54,26.51,26.58,31.83,35.06,50.03,62.84,94.73,123.85
c_1,0.61,0.87,0.77,1.0,1.8,2.25,14.6,16.3,14.49,18.82,28.18,24.61,56.77,55.74,64.87,80.2
b_1,0.46,0.62,0.72,0.58,1.0,2.78,11.95,12.47,14.52,20.55,23.04,25.97,44.48,53.2,46.74,75.87
a_1,0.32,0.33,0.42,0.44,0.36,1.0,7.23,7.27,8.8,10.37,12.58,16.24,24.55,26.76,40.35,44.62
h_1,0.04,0.05,0.06,0.07,0.08,0.14,1.0,1.22,1.27,1.37,2.05,1.87,3.69,4.6,4.92,7.08
g_1,0.04,0.05,0.05,0.06,0.08,0.14,0.83,1.0,1.2,1.38,2.21,1.88,2.94,4.05,4.45,5.57
d_0,0.03,0.04,0.04,0.07,0.07,0.12,0.82,0.85,1.0,1.01,1.43,1.25,2.73,3.23,3.45,4.81
c_0,0.03,0.03,0.04,0.05,0.05,0.09,0.73,0.74,1.06,1.0,1.4,1.81,2.62,3.01,4.2,3.92
f_0,0.02,0.03,0.03,0.04,0.04,0.08,0.49,0.45,0.71,0.7,1.0,1.01,2.0,3.29,2.31,2.75
b_0,0.02,0.02,0.03,0.04,0.04,0.06,0.55,0.54,0.76,0.57,1.09,1.0,1.88,2.13,3.41,3.41
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.26,0.35,0.37,0.37,0.51,0.57,1.0,1.15,1.28,1.78
e_0,0.01,0.01,0.02,0.02,0.02,0.04,0.23,0.25,0.31,0.33,0.32,0.46,0.87,1.0,1.18,1.38
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.21,0.22,0.3,0.23,0.42,0.29,0.76,0.84,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.18,0.21,0.26,0.37,0.31,0.57,0.74,0.75,1.01
