,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.83,0.93,1.08,0.93,1.04,1.01,1.09,1.46,1.05,1.13,1.18,1.05,1.18,1.06,1.54
f_1,1.2,1.0,0.98,0.97,0.87,1.05,0.93,1.21,0.98,0.85,0.98,0.91,0.99,0.74,1.17,0.72
d_1,1.07,1.02,1.0,0.94,0.99,0.98,1.09,0.84,0.86,1.26,1.14,0.92,0.94,1.01,0.81,0.89
c_1,0.93,1.03,1.07,1.0,1.41,0.73,0.98,0.88,0.7,0.83,0.81,0.9,0.96,1.07,1.08,1.0
b_1,1.08,1.16,1.01,0.71,1.0,1.4,0.94,0.96,0.93,0.98,0.95,1.17,0.98,1.0,0.89,0.86
a_1,0.98,0.95,1.03,1.36,0.71,1.0,1.36,0.99,1.06,0.98,0.98,0.96,1.01,1.11,1.02,1.22
h_1,1.02,1.05,0.92,0.99,1.04,0.72,1.0,1.16,1.04,1.04,1.02,0.9,0.97,1.19,1.23,1.04
g_1,0.89,0.87,1.15,1.15,1.04,1.04,0.87,1.0,0.91,1.0,0.85,1.14,0.91,0.83,0.89,1.03
d_0,0.72,1.02,1.15,1.36,1.05,0.94,0.98,1.13,1.0,0.84,0.98,1.03,0.9,1.08,0.97,1.02
c_0,0.91,1.21,0.78,1.23,0.96,1.04,0.94,1.04,1.15,1.0,1.37,1.08,1.12,1.08,0.99,1.05
b_0,0.9,1.04,0.88,1.23,0.97,1.01,0.98,1.16,1.02,0.71,1.0,1.03,1.38,1.2,1.22,1.02
f_0,0.81,1.14,1.12,1.08,0.97,0.97,1.13,0.89,1.0,0.94,0.96,1.0,1.08,1.19,0.78,1.43
a_0,0.95,0.99,1.1,1.01,0.99,0.98,1.02,1.14,1.08,0.85,0.8,1.0,1.0,0.84,1.04,1.27
h_0,0.81,1.3,1.01,0.96,0.97,0.88,0.85,1.19,0.94,0.94,0.87,0.85,1.12,1.01,1.14,0.93
g_0,0.9,0.86,1.25,0.9,1.12,0.92,0.83,1.11,1.06,1.04,0.86,1.27,0.94,0.89,1.0,0.99
e_0,0.72,1.42,1.1,1.1,1.05,0.86,0.99,0.98,0.96,0.96,0.95,0.71,0.8,0.98,0.93,1.0
