,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.3,1.52,0.71,0.86,0.67,0.51,1.48,1.13,1.39,1.8,1.59,0.86,1.86,1.35,0.99,1.53
e_1,0.88,2.33,0.75,1.03,0.73,0.63,1.45,1.32,1.4,3.14,1.7,1.57,2.33,1.47,0.99,1.76
d_1,0.86,0.78,2.44,0.59,0.73,0.59,1.63,1.64,3.04,1.06,1.91,1.69,2.12,1.69,1.4,2.13
c_1,0.9,0.68,0.82,2.49,1.45,0.62,1.32,1.35,0.91,1.71,1.1,1.41,1.85,1.51,1.23,1.51
b_1,0.84,0.83,0.75,0.74,2.61,1.47,1.47,1.27,1.51,1.57,1.09,1.43,1.87,1.15,1.31,1.57
a_1,1.07,0.81,0.88,0.95,0.65,3.1,1.63,1.31,1.76,1.91,1.75,1.7,2.38,0.83,1.6,1.37
h_1,1.41,0.89,0.97,0.76,0.8,0.7,3.33,1.65,1.8,1.69,1.71,1.53,1.73,1.42,1.42,2.67
g_1,0.86,0.77,1.33,0.87,0.87,0.66,1.67,3.61,1.95,1.29,1.94,2.69,2.64,1.69,1.55,1.64
c_0,1.05,0.93,0.99,0.69,0.66,0.63,1.77,1.47,3.26,2.02,3.59,1.76,2.46,2.06,1.59,2.4
d_0,1.06,0.89,0.56,1.66,0.83,0.65,1.49,1.48,1.05,2.86,1.71,1.55,2.58,1.69,1.59,1.92
b_0,1.14,0.77,0.98,0.96,0.69,0.51,1.78,1.38,2.12,1.68,3.29,1.63,2.55,3.33,1.79,2.22
f_0,0.93,0.71,0.95,0.89,0.83,0.77,1.92,1.69,2.16,1.9,2.27,3.58,2.68,1.92,3.39,2.33
h_0,1.31,0.9,0.97,0.99,0.79,0.53,1.17,2.01,1.77,1.89,1.75,1.81,1.7,1.72,1.83,2.57
a_0,1.08,0.93,0.83,1.0,0.92,0.52,1.97,1.46,1.83,1.92,2.01,1.83,2.69,3.28,1.82,2.46
e_0,1.32,0.78,0.93,1.03,0.65,0.68,2.05,1.62,2.09,1.85,2.01,1.89,2.6,1.85,3.48,2.15
g_0,0.75,0.81,1.4,0.88,0.81,0.74,1.59,1.42,2.12,1.49,1.89,2.8,2.17,1.45,1.72,1.8
