,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.01,1.02,0.91,0.78,0.8,0.61,0.73,0.96,0.68,0.71,0.61,0.6,0.66,0.62
f_1,1.27,1.0,0.95,0.91,0.83,0.87,0.55,0.62,0.59,0.58,0.6,0.53,0.49,0.54,0.44,0.54
d_1,0.99,1.06,1.0,0.93,0.91,0.95,0.74,0.9,0.6,0.65,0.6,0.6,0.61,0.56,0.67,0.44
c_1,0.98,1.11,1.08,1.0,1.32,0.74,0.71,0.64,0.78,0.47,0.67,0.64,0.62,0.54,0.58,0.63
b_1,1.1,1.21,1.1,0.77,1.0,1.4,0.83,0.68,0.57,0.7,0.47,0.67,0.64,0.57,0.64,0.64
a_1,1.26,1.16,1.05,1.34,0.71,1.0,0.92,0.79,0.78,0.72,0.99,0.81,0.89,1.26,0.71,0.83
h_1,1.28,1.77,1.37,1.36,1.26,1.11,1.0,0.82,1.23,0.97,0.98,0.92,0.85,0.79,0.77,0.98
c_0,1.58,1.61,1.17,1.46,1.39,1.23,1.22,1.0,1.06,1.07,1.31,0.99,1.0,1.0,0.87,0.87
g_1,1.39,1.68,1.78,1.31,1.63,1.25,0.81,0.98,1.0,0.85,0.96,1.18,0.7,0.9,0.75,0.76
d_0,1.1,1.59,1.44,2.07,1.47,1.41,1.04,0.92,1.17,1.0,1.06,0.84,1.0,0.86,0.94,1.0
b_0,1.49,1.62,1.66,1.48,1.86,1.08,1.06,0.77,1.01,0.99,1.0,0.97,0.85,1.51,0.89,0.89
f_0,1.34,1.81,1.72,1.73,1.44,1.25,1.09,1.0,0.87,1.14,0.96,1.0,1.06,1.04,1.25,0.8
h_0,1.7,1.95,1.7,1.57,1.53,1.17,1.19,0.97,1.44,1.02,1.19,0.96,1.0,0.89,0.85,1.07
a_0,1.61,1.75,1.79,1.91,1.84,0.88,1.28,1.02,1.07,1.17,0.7,0.99,1.18,1.0,0.92,0.91
e_0,1.51,2.35,1.46,1.73,1.49,1.35,1.26,1.17,1.28,1.05,1.13,0.82,1.17,1.04,1.0,0.92
g_0,1.63,1.8,2.18,1.68,1.51,1.32,0.99,1.13,1.33,0.94,1.15,1.31,0.9,1.06,1.02,1.0
