,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.74,0.84,0.81,0.83,0.72,0.35,0.47,0.33,0.39,0.35,0.46,0.24,0.37,0.3,0.34
d_1,0.83,0.41,0.89,0.8,0.78,0.78,0.46,0.32,0.38,0.55,0.34,0.36,0.27,0.36,0.36,0.21
e_1,0.53,0.84,0.4,0.88,0.87,0.98,0.44,0.53,0.37,0.46,0.37,0.47,0.34,0.38,0.52,0.35
c_1,0.81,0.95,0.69,0.39,0.97,0.74,0.39,0.44,0.42,0.23,0.33,0.31,0.35,0.3,0.36,0.31
b_1,0.85,0.86,0.83,0.5,0.37,0.92,0.58,0.42,0.49,0.42,0.71,0.39,0.34,0.43,0.43,0.35
a_1,1.0,0.82,0.83,0.99,0.47,0.3,0.49,0.46,0.41,0.35,0.46,0.39,0.36,0.58,0.36,0.33
h_1,0.84,0.65,0.68,0.7,0.72,0.6,0.23,0.45,0.35,0.32,0.35,0.31,0.45,0.38,0.3,0.32
g_1,0.78,0.73,0.65,0.82,0.79,0.63,0.31,0.22,0.32,0.32,0.32,0.35,0.2,0.33,0.3,0.32
c_0,0.89,0.48,0.73,1.17,0.79,0.65,0.41,0.41,0.24,0.42,0.36,0.35,0.28,0.34,0.31,0.27
d_0,0.68,1.01,0.45,0.91,0.73,0.83,0.42,0.43,0.31,0.25,0.39,0.31,0.28,0.32,0.31,0.33
b_0,0.76,0.62,0.73,0.96,1.04,0.6,0.33,0.38,0.21,0.29,0.23,0.3,0.3,0.43,0.28,0.24
f_0,0.97,0.69,0.65,0.79,0.76,0.64,0.42,0.28,0.3,0.35,0.34,0.23,0.31,0.36,0.42,0.18
h_0,0.77,0.77,0.68,0.72,0.67,0.59,0.42,0.46,0.29,0.32,0.3,0.28,0.32,0.32,0.31,0.29
a_0,0.8,0.64,0.74,0.8,0.83,1.01,0.37,0.36,0.31,0.33,0.2,0.29,0.29,0.21,0.29,0.32
e_0,1.07,0.63,0.87,0.81,0.65,0.7,0.4,0.38,0.33,0.34,0.32,0.18,0.29,0.35,0.2,0.25
g_0,0.71,0.93,0.66,0.69,0.61,0.66,0.29,0.44,0.3,0.33,0.33,0.36,0.22,0.33,0.36,0.33
