,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.6,1.71,1.51,1.93,1.46,1.34,5.9,6.16,4.97,13.74,7.2,7.1,11.9,7.25,4.11,10.94
f_1,2.62,5.92,1.42,1.42,1.37,1.52,4.68,6.14,4.0,6.63,6.84,2.88,10.19,6.67,4.83,9.27
d_1,1.46,1.58,6.25,1.26,1.51,1.7,5.92,12.91,6.11,3.88,7.76,7.46,10.93,7.72,8.83,10.03
c_1,1.53,1.44,1.47,7.3,2.86,1.22,5.04,2.98,5.87,6.66,6.53,7.64,10.48,5.57,6.75,11.04
b_1,1.4,1.61,1.53,1.54,8.41,3.07,5.59,5.68,4.47,6.63,2.87,7.14,10.82,5.1,7.16,9.92
a_1,1.54,1.57,1.48,1.73,1.43,10.23,5.88,7.04,6.85,5.61,8.25,8.96,12.18,4.65,9.21,11.46
h_1,1.55,2.54,1.98,1.69,1.79,1.67,16.72,7.83,8.92,8.6,9.47,9.67,7.98,9.06,10.43,17.04
c_0,1.88,1.91,2.04,1.13,1.47,1.73,8.24,16.51,7.9,9.48,18.05,10.32,15.39,12.57,10.52,14.87
g_1,1.5,1.63,2.95,1.69,2.06,2.01,6.09,9.19,20.44,6.83,9.36,13.1,10.6,10.04,8.65,7.29
d_0,1.83,1.93,1.05,3.57,1.93,1.54,6.15,7.13,7.11,15.97,9.29,8.39,14.86,9.17,8.96,15.86
b_0,1.78,2.09,2.39,1.78,1.32,1.19,7.06,9.17,7.14,8.86,17.84,9.35,12.99,20.67,9.93,14.27
f_0,1.3,1.12,2.22,2.35,2.07,1.89,7.4,9.7,7.27,10.54,8.99,19.87,13.89,11.04,20.02,14.3
h_0,1.99,2.51,2.08,1.9,1.83,1.51,4.38,7.65,9.11,8.91,10.19,7.39,8.47,8.5,8.95,16.0
a_0,1.75,1.92,2.36,2.26,1.73,0.73,7.73,10.18,6.83,10.55,7.9,8.93,16.36,24.42,10.68,13.73
e_0,0.95,2.42,1.62,2.0,1.69,2.12,8.59,10.79,8.18,9.05,11.34,11.28,16.22,11.54,25.9,14.47
g_0,1.55,1.62,2.99,2.01,1.71,1.55,5.83,9.01,4.73,7.88,9.77,13.59,12.74,9.21,9.65,9.87
