,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.04,0.8,0.79,0.81,0.78,0.57,0.66,0.34,,0.45,0.34,0.32,0.33,0.22,0.32
f_1,0.97,1.0,1.31,0.81,0.93,0.67,0.47,0.46,0.51,0.48,0.41,,0.31,0.32,0.24,0.29
e_1,1.25,0.76,1.0,0.88,0.93,0.85,0.46,0.45,0.39,0.52,0.39,0.49,0.34,0.35,0.35,
c_1,1.27,1.24,1.14,1.0,1.43,0.81,0.39,,0.45,0.35,0.36,0.34,0.49,0.4,0.36,0.48
b_1,1.24,1.07,1.07,0.7,1.0,,0.66,0.56,0.49,0.43,,0.55,0.49,0.32,0.41,0.27
a_1,1.28,1.49,1.18,1.23,,1.0,0.7,0.67,0.62,0.57,0.69,0.6,0.52,,0.52,
h_1,1.75,2.13,2.18,2.59,1.52,1.42,1.0,0.89,1.07,0.89,0.77,0.78,,0.63,0.85,0.47
c_0,1.51,2.18,2.24,,1.8,1.5,1.12,1.0,0.97,1.09,1.3,0.8,0.94,0.89,0.79,0.74
g_1,2.94,1.95,2.56,2.25,2.02,1.62,0.93,1.03,1.0,0.67,0.88,1.02,0.83,0.84,,0.58
d_0,,2.08,1.94,2.82,2.32,1.76,1.13,0.92,1.5,1.0,1.32,0.75,0.82,0.65,0.61,0.62
b_0,2.24,2.44,2.56,2.75,,1.46,1.3,0.77,1.14,0.76,1.0,1.15,0.91,1.51,0.86,0.76
f_0,2.92,,2.02,2.97,1.81,1.66,1.28,1.25,0.98,1.34,0.87,1.0,0.81,0.78,0.79,1.33
h_0,3.08,3.24,2.92,2.03,2.05,1.92,,1.07,1.2,1.22,1.1,1.23,,0.87,1.16,0.93
a_0,3.07,3.14,2.84,2.51,3.09,,1.6,1.12,1.19,1.53,0.66,1.28,1.15,1.0,1.33,1.03
g_0,4.54,4.09,2.87,2.76,2.43,1.93,1.18,1.27,,1.65,1.16,1.26,0.86,0.75,,1.18
e_0,3.14,3.4,,2.08,3.65,,2.11,1.35,1.72,1.61,1.31,0.75,1.08,0.98,0.84,1.0
