,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.43,1.69,0.96,2.24,1.96,1.73,0.57,0.54,0.37,0.36,0.47,0.4,0.3,0.37,0.84,0.32
d_1,2.16,0.42,1.61,1.85,1.98,1.56,0.46,0.28,0.32,1.0,0.32,0.27,0.25,0.32,0.3,0.15
f_1,1.56,1.76,0.42,1.7,1.88,1.67,0.36,0.58,0.32,0.37,0.61,0.33,0.18,0.31,0.31,0.32
c_1,1.43,2.32,2.08,0.4,1.86,1.51,0.46,0.83,0.75,0.19,0.41,0.38,0.25,0.38,0.37,0.22
b_1,2.11,2.04,2.26,0.99,0.4,1.79,0.59,0.61,0.53,0.38,0.39,0.86,0.31,0.45,0.49,0.29
a_1,2.39,2.28,3.03,2.52,1.02,0.34,0.77,0.67,0.56,0.69,0.54,0.9,0.32,1.38,0.4,0.34
h_1,2.49,2.49,2.57,2.92,2.89,3.27,0.34,0.73,0.52,0.57,0.56,0.56,0.74,0.48,0.45,0.44
g_1,3.42,3.01,2.92,3.56,2.94,2.88,0.69,0.3,0.58,0.78,0.55,0.63,0.32,0.61,0.58,0.76
c_0,3.26,1.62,3.18,6.52,5.23,3.92,0.89,0.76,0.35,1.18,0.61,0.65,0.53,0.69,0.64,0.5
d_0,1.75,7.91,3.39,3.49,3.2,2.86,0.99,1.21,0.76,0.35,0.73,0.75,0.49,0.73,0.72,0.62
f_0,3.28,2.74,6.97,3.52,3.76,3.38,0.98,0.64,0.67,0.86,0.33,0.63,0.54,0.64,0.69,0.34
b_0,3.22,3.02,3.68,5.68,7.13,3.05,0.95,0.85,0.38,0.73,0.62,0.34,0.55,0.7,0.67,0.42
h_0,3.92,3.73,4.63,3.74,3.33,3.97,1.53,1.28,0.94,0.84,0.75,0.71,0.79,0.73,0.65,0.63
a_0,4.9,3.21,3.76,4.83,5.33,6.55,1.12,1.25,0.75,0.82,0.83,0.38,0.54,0.31,0.8,0.62
e_0,6.86,3.66,5.81,4.0,3.79,3.24,1.01,1.04,0.95,0.85,0.36,0.86,0.6,0.85,0.32,0.57
g_0,4.77,3.9,4.66,3.66,4.24,4.91,0.9,1.83,0.92,1.07,0.77,0.94,0.48,0.7,0.84,1.14
