,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.01,0.07,0.05,0.11,0.08,0.14,0.16,0.2,0.19,0.18,0.24,0.28,0.28,,0.28,0.27
d_1,0.09,0.01,0.08,0.08,0.11,0.13,0.17,0.12,0.19,,0.19,0.19,0.32,0.33,0.26,0.17
f_1,0.08,0.08,0.01,0.07,0.09,0.12,0.13,0.2,0.17,0.17,,0.2,0.16,0.24,0.29,0.31
c_1,0.05,0.06,0.07,0.01,0.09,0.08,0.09,0.18,,0.07,0.16,0.13,0.18,0.25,0.24,0.19
b_1,0.06,0.05,0.05,0.03,0.01,0.09,0.1,0.1,0.12,0.11,0.13,,0.15,,0.24,0.19
a_1,0.02,0.01,0.02,0.02,0.01,,0.03,0.05,0.04,0.05,,0.07,0.07,0.05,,0.07
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
