,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.3,0.48,0.5,0.37,0.46,0.34,0.87,0.81,1.96,0.51,1.29,1.07,1.4,1.34,0.8,0.73
e_1,0.4,2.3,0.5,0.59,0.44,0.41,0.91,0.79,1.12,1.89,1.13,1.03,1.18,1.12,0.76,0.34
f_1,0.51,0.92,2.33,0.48,0.33,0.33,0.94,0.62,0.78,0.96,0.91,0.43,1.1,0.87,0.65,0.61
c_1,0.43,0.43,0.52,2.43,0.83,0.32,0.94,0.78,0.37,0.97,0.5,0.72,1.3,1.16,0.78,0.91
b_1,0.52,0.49,0.54,0.46,2.57,0.73,0.69,0.72,0.74,0.89,0.43,0.86,1.22,1.1,0.49,0.75
a_1,0.57,0.53,0.5,0.49,0.43,3.09,0.75,0.71,1.04,0.92,0.99,1.08,1.31,0.92,0.4,0.72
h_1,0.73,0.4,0.77,0.53,0.6,0.37,3.04,1.42,1.36,1.17,1.0,1.05,0.76,1.9,1.0,1.12
g_1,1.1,0.46,0.59,0.49,0.52,0.44,0.95,3.29,1.03,0.7,1.08,1.5,1.26,0.75,1.09,1.0
c_0,0.74,0.66,0.71,0.3,0.4,0.42,1.19,1.11,2.59,1.24,2.41,1.09,1.78,1.52,1.25,1.07
d_0,0.34,0.55,0.72,1.17,0.49,0.36,1.26,0.97,0.85,2.56,1.03,1.21,1.59,1.49,1.0,1.06
b_0,0.71,0.57,0.72,0.69,0.24,0.3,1.08,1.04,1.24,1.55,2.75,1.04,1.71,1.34,2.41,0.95
f_0,0.81,0.58,0.32,0.69,0.49,0.37,1.21,1.01,1.24,1.33,1.26,2.73,1.64,1.45,1.0,1.84
h_0,0.65,0.61,0.95,0.64,0.5,0.33,0.65,1.38,1.18,1.2,1.26,0.98,0.89,1.91,0.71,1.1
g_0,0.96,0.59,0.61,0.55,0.45,0.49,1.04,0.64,1.28,1.16,1.16,1.94,1.39,0.97,1.07,1.11
a_0,0.68,0.53,0.67,0.78,0.64,0.13,0.99,1.1,1.07,1.15,1.05,1.24,2.02,1.37,3.13,1.07
e_0,0.82,0.3,0.71,0.57,0.61,0.36,1.14,1.07,1.34,1.14,1.35,1.11,1.83,1.21,1.12,3.18
