,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.39,1.13,0.87,1.29,1.05,0.8,1.89,1.73,3.57,2.1,2.15,2.16,2.62,1.44,2.44,2.0
f_1,1.79,2.43,0.97,0.99,1.02,0.64,1.8,1.55,2.2,2.14,1.55,2.09,2.61,1.12,1.98,1.78
d_1,1.08,1.19,2.48,0.82,0.9,0.78,2.19,1.87,1.71,3.67,2.24,2.58,2.73,1.95,2.94,2.04
c_1,0.87,1.05,1.04,2.46,1.62,0.97,1.73,1.77,2.02,1.39,1.91,1.46,2.6,1.63,2.11,1.66
b_1,1.01,1.1,1.02,1.11,2.57,1.57,1.84,1.74,2.12,1.85,1.76,1.36,2.77,1.73,2.43,1.33
a_1,1.13,1.15,1.07,1.0,1.05,3.06,2.19,1.77,2.12,2.21,2.24,2.19,2.78,2.03,2.6,1.25
h_1,1.07,1.49,1.21,1.1,0.91,0.79,3.55,2.29,2.0,2.33,2.22,2.27,2.43,1.72,3.29,1.85
g_1,0.92,1.01,1.58,1.22,0.98,0.83,1.95,3.64,1.77,2.39,3.33,2.5,3.12,2.15,2.53,2.0
d_0,1.03,1.05,0.79,1.96,1.19,0.89,1.93,1.92,3.33,1.65,2.35,1.81,2.64,1.69,2.49,1.74
c_0,1.19,1.2,1.3,0.99,0.79,0.88,2.25,2.26,2.54,3.44,2.69,3.94,3.23,1.88,2.71,2.6
f_0,0.79,0.97,1.38,1.22,1.04,1.07,2.25,1.97,2.19,2.38,3.48,2.34,2.56,4.09,2.95,2.28
b_0,1.14,1.25,1.23,1.18,0.82,0.77,2.15,2.34,2.35,2.23,2.62,3.55,3.36,2.03,2.69,3.89
h_0,1.13,1.49,1.25,1.14,1.0,0.81,1.83,2.59,2.2,1.91,2.24,2.13,2.31,1.77,3.27,2.05
e_0,0.81,1.1,1.23,1.33,1.06,1.07,2.46,2.38,2.29,2.27,2.12,2.43,3.22,4.05,2.84,1.96
g_0,1.0,1.04,1.62,1.14,0.99,0.88,2.21,1.85,2.04,2.7,3.38,2.31,2.67,2.37,2.63,1.78
a_0,1.17,1.23,1.3,1.14,1.02,0.74,2.23,2.51,2.05,2.13,2.13,2.35,3.37,2.2,2.73,3.84
