,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,3.61,0.8,0.38,0.37,0.27,0.42,0.77,0.73,0.72,0.72,0.75,0.12,0.83,0.8,0.8,0.58
e_1,0.39,3.87,0.45,0.32,0.41,0.37,0.79,0.67,1.46,0.96,0.75,0.87,0.77,0.75,0.79,0.26
c_1,0.37,0.37,4.08,0.35,0.89,0.33,0.78,0.7,0.75,0.18,0.55,0.87,0.94,0.66,0.71,0.8
d_1,0.48,0.32,0.33,4.32,0.35,0.37,0.79,0.69,0.19,1.56,0.93,0.91,0.84,0.88,1.11,0.75
b_1,0.38,0.31,0.43,0.36,5.03,0.82,0.8,0.73,0.88,0.77,0.18,0.67,0.94,0.5,1.02,0.78
a_1,0.56,0.45,0.41,0.32,0.32,7.34,0.7,0.73,0.89,0.83,0.58,0.6,0.99,0.2,0.59,0.57
h_1,1.08,0.61,0.47,0.85,0.58,0.52,5.34,1.29,1.24,1.23,1.53,1.27,0.62,1.29,1.65,1.43
g_1,0.52,0.66,0.69,1.25,0.5,0.57,1.01,6.16,1.15,1.19,1.6,2.37,1.37,1.69,0.51,1.75
d_0,0.61,0.56,1.45,0.27,0.61,0.48,1.36,1.32,3.64,1.26,1.48,1.99,1.85,1.88,1.57,1.98
c_0,0.86,0.59,0.32,0.91,0.48,0.71,1.11,1.4,1.59,4.12,3.59,1.64,1.58,1.73,2.09,1.98
b_0,0.68,0.66,0.61,1.02,0.16,0.76,1.44,1.6,1.23,1.16,4.71,1.78,1.7,2.98,1.66,2.2
f_0,0.31,0.5,0.83,0.98,0.59,0.41,1.28,1.68,1.74,1.65,1.92,5.3,2.24,2.2,1.97,3.82
h_0,0.9,0.56,0.88,0.82,0.59,0.48,0.36,1.87,1.24,1.37,1.82,1.37,0.58,1.65,1.76,1.47
a_0,0.75,0.75,0.84,0.71,0.52,,1.53,1.53,1.29,1.16,1.89,2.03,1.51,6.29,1.61,1.75
g_0,0.64,0.46,0.6,1.33,0.66,0.54,1.25,0.61,1.01,0.94,2.22,2.35,1.56,1.55,0.69,1.49
e_0,0.77,0.18,0.94,0.82,0.91,0.6,0.91,1.28,1.69,1.57,2.15,1.99,1.93,1.14,1.96,7.87
