,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,1.58,1.54,1.66,1.79,1.4,0.35,0.44,0.3,0.33,0.36,1.25,0.22,0.37,0.25,0.46
d_1,1.9,0.17,1.68,1.75,1.49,1.54,0.5,0.31,0.33,2.51,0.27,0.33,0.21,0.35,0.17,0.28
e_1,0.98,1.98,0.16,1.72,2.03,1.35,0.48,0.6,0.38,0.38,0.35,0.38,0.22,0.31,0.31,0.91
c_1,1.52,2.01,1.59,0.15,1.33,2.28,0.44,0.51,1.51,0.17,0.32,0.33,0.22,0.35,0.22,0.35
b_1,1.62,1.67,2.02,0.88,0.13,1.85,0.47,0.47,0.43,0.38,1.82,0.31,0.3,0.36,0.26,0.34
a_1,1.96,1.72,1.85,1.65,0.96,0.1,0.51,0.52,0.34,0.34,0.57,0.42,0.22,1.34,0.25,0.25
h_1,0.99,0.82,0.97,1.12,0.92,0.9,0.07,0.29,0.2,0.21,0.17,0.17,0.36,0.19,0.14,0.18
g_1,1.24,0.84,0.86,1.16,1.0,0.88,0.22,0.06,0.17,0.16,0.16,0.15,0.11,0.18,0.25,0.16
c_0,0.9,0.47,0.89,2.77,1.42,1.13,0.26,0.27,0.07,0.23,0.18,0.19,0.13,0.21,0.12,0.18
d_0,0.85,2.93,0.48,0.9,1.07,1.07,0.33,0.36,0.18,0.07,0.18,0.18,0.16,0.2,0.13,0.26
b_0,0.99,0.72,0.97,1.43,2.95,0.78,0.23,0.21,0.09,0.15,0.06,0.14,0.12,0.21,0.15,0.17
f_0,2.13,0.73,0.82,0.98,1.08,1.46,0.25,0.17,0.16,0.16,0.15,0.06,0.14,0.15,0.09,0.15
h_0,0.91,0.88,0.76,1.06,1.02,0.84,0.8,0.25,0.17,0.21,0.15,0.18,0.38,0.15,0.15,0.17
a_0,1.05,0.8,0.97,1.1,1.14,1.67,0.28,0.23,0.17,0.24,0.08,0.18,0.13,0.04,0.12,0.17
g_0,1.13,0.74,0.97,0.91,1.04,0.91,0.21,0.61,0.19,0.2,0.18,0.15,0.09,0.15,0.32,0.14
e_0,1.07,0.78,2.68,0.8,0.77,1.1,0.26,0.3,0.18,0.15,0.16,0.09,0.13,0.25,0.11,0.04
