,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11135.43,1413.18,1246.65,1987.69,2749.46,13388.42,1621627.05,7391203.53,2962881.58,6082678.77,9885165.45,11199674.17,33175521.91,50239569.73,23654887.13,100621534.82
f_1,1913.54,11945.98,1684.88,1932.86,2715.82,14050.1,1134392.47,4028687.17,3396879.05,6199011.72,9069262.42,1976645.44,34327499.04,36742933.17,51952363.74,61267960.0
d_1,994.13,1332.34,18547.06,1347.45,3709.13,12219.14,1476665.71,1142830.43,3938687.4,14218971.89,10263709.29,11274046.25,41219203.04,39486857.76,71964758.87,80569240.91
c_1,1028.84,1007.11,2053.25,18867.74,4660.26,11502.86,1517106.44,3876682.16,3953172.3,1748086.5,7584142.12,14888825.85,44119199.84,46185409.68,54957164.56,66733699.82
b_1,1117.0,1038.13,2035.65,1616.0,38791.88,26191.12,1294482.89,3657276.62,3250889.73,5827712.69,1874464.54,11448042.36,33427982.42,39663236.68,54882518.67,86632736.09
a_1,1028.21,1176.33,2006.68,1758.15,3439.87,240200.54,1341233.61,4546628.0,3826177.54,5823385.65,10133016.58,10551063.97,39755239.12,18712345.32,52308095.37,75846738.29
h_1,2262.2,3181.65,2767.66,2562.66,4063.91,15770.52,10109166.53,5414494.98,6640515.43,11243259.77,17644959.54,25027213.91,29219240.25,105463001.01,94542212.02,179935177.71
d_0,2298.4,2395.98,724.62,6211.9,4243.36,20501.67,2747154.67,17123340.38,5727444.56,10686662.75,16825729.27,19685270.77,60011824.21,66914455.81,98811860.3,162856584.57
g_1,1753.21,1481.25,4088.59,2883.0,6927.12,22587.98,2464959.33,7332128.62,30089835.55,9740447.82,15360567.45,33650035.51,69536172.72,96977472.19,83868091.3,38121859.68
c_0,2425.85,2633.4,3286.11,1162.64,5151.69,17616.01,2866859.41,6590884.85,6276428.25,35658647.61,30322761.89,25733190.0,67980808.24,98326585.96,115301467.59,150940103.02
b_0,2289.19,2918.51,3040.46,3361.14,1866.68,20819.85,2471818.86,6649379.8,6625952.9,13944220.04,47827127.17,22625221.24,81151412.2,171497003.46,107864798.77,193257764.46
f_0,1789.58,937.77,4124.84,3441.02,6015.52,20519.26,3326636.56,6076210.68,7344064.46,12166507.32,21646232.89,64032014.59,55271739.85,113560980.45,238084476.84,159516599.48
h_0,1289.76,3023.29,2868.99,3311.75,6519.64,16234.36,1206133.94,7181555.84,7756031.88,14174334.93,18862541.59,25180428.15,27764888.93,89846775.71,115918052.98,188366836.09
a_0,1838.41,2698.35,3680.48,3010.28,4094.13,9466.47,3064434.92,7625294.71,6898952.38,15050148.4,16760383.73,22840294.55,82195792.55,368079403.04,125047746.59,155464766.04
e_0,629.92,2674.4,3327.87,3627.37,5266.14,26683.54,3681707.21,7459887.77,6741407.24,12657200.71,17181901.21,16592628.01,76928683.96,118141064.19,442297819.54,141535302.25
g_0,1679.78,1695.04,4962.61,3924.7,4776.27,22109.22,2945365.77,5758509.86,,11623959.83,16450756.48,34161292.95,58674419.97,70322062.02,99074711.58,84921181.35
