,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.83,1.21,1.45,1.77,3.31,21.39,30.19,38.24,28.84,54.67,50.61,76.26,114.27,106.69,148.19
f_1,1.21,1.0,1.06,1.25,1.34,3.32,14.58,27.49,27.53,39.9,47.56,46.37,52.82,100.72,96.36,113.03
d_1,0.82,0.94,1.0,0.89,1.32,2.77,13.2,18.03,27.98,37.99,42.62,39.65,64.66,66.29,95.21,102.13
c_1,0.69,0.8,1.12,1.0,1.5,2.55,14.4,20.38,15.9,25.85,25.38,34.97,60.26,88.87,81.0,80.12
b_1,0.57,0.74,0.76,0.66,1.0,2.78,9.14,19.18,16.56,29.38,36.72,34.29,52.35,71.3,71.97,82.02
a_1,0.3,0.3,0.36,0.39,0.36,1.0,5.47,9.1,8.25,8.07,15.34,14.03,19.91,32.18,27.84,27.7
h_1,0.05,0.07,0.08,0.07,0.11,0.18,1.0,1.68,1.63,1.69,2.74,3.36,3.86,7.39,7.02,7.62
g_1,0.03,0.04,0.05,0.05,0.05,0.11,0.6,1.0,0.87,0.95,1.59,2.16,2.27,4.4,4.4,4.56
d_0,0.03,0.04,0.04,0.07,0.06,0.12,0.63,1.15,1.0,1.01,1.53,2.19,2.68,4.35,3.94,5.05
c_0,0.03,0.03,0.03,0.04,0.03,0.12,0.6,1.0,0.96,1.0,2.56,1.62,2.11,4.51,3.02,2.91
b_0,0.02,0.02,0.02,0.04,0.03,0.06,0.37,0.64,0.62,0.42,1.0,0.95,1.63,2.33,2.89,2.76
f_0,0.02,0.02,0.03,0.03,0.03,0.06,0.29,0.47,0.5,0.6,1.16,1.0,1.7,2.18,2.59,3.5
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.26,0.44,0.37,0.5,0.63,0.58,1.0,1.82,1.47,1.7
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.22,0.22,0.22,0.42,0.46,0.57,1.0,0.86,0.99
a_0,0.01,0.01,0.01,0.01,0.01,0.04,0.14,0.24,0.26,0.33,0.35,0.41,0.71,1.19,1.0,0.99
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.21,0.22,0.33,0.38,0.3,0.6,0.98,1.03,1.0
