,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.16,0.39,0.76,0.6,0.76,0.66,0.21,0.15,0.14,0.2,0.14,0.17,0.11,0.14,0.38,0.12
f_1,0.63,0.16,0.72,0.69,0.57,0.57,0.14,0.14,0.11,0.26,0.13,0.24,0.07,0.14,0.11,0.1
c_1,0.54,0.73,0.16,0.78,0.69,0.66,0.2,0.08,0.24,0.18,0.13,0.11,0.09,0.12,0.13,0.1
d_1,0.83,0.59,0.69,0.16,0.68,0.56,0.17,0.3,0.13,0.11,0.13,0.13,0.09,0.12,0.12,0.06
b_1,0.78,0.82,0.34,0.56,0.13,0.92,0.21,0.16,0.22,0.24,0.31,0.13,0.11,0.14,0.13,0.09
a_1,0.63,0.81,0.77,0.71,0.33,0.1,0.22,0.15,0.13,0.19,0.18,0.15,0.1,0.25,0.14,0.11
h_1,0.49,0.56,0.59,0.52,0.51,0.44,0.06,0.12,0.11,0.16,0.11,0.1,0.12,0.1,0.09,0.07
d_0,0.27,0.58,0.55,0.97,0.66,0.5,0.16,0.06,0.11,0.16,0.11,0.1,0.09,0.09,0.12,0.11
c_0,0.47,0.54,1.11,0.29,0.51,0.59,0.15,0.15,0.06,0.15,0.1,0.11,0.09,0.12,0.09,0.07
g_1,0.5,0.54,0.62,0.49,0.54,0.5,0.1,0.13,0.11,0.05,0.11,0.09,0.07,0.09,0.1,0.1
b_0,0.46,0.55,0.75,0.42,1.05,0.5,0.15,0.11,0.05,0.14,0.05,0.1,0.07,0.1,0.09,0.07
f_0,0.47,0.98,0.48,0.51,0.53,0.45,0.16,0.1,0.12,0.09,0.11,0.05,0.09,0.11,0.1,0.05
h_0,0.53,0.52,0.52,0.49,0.52,0.49,0.21,0.1,0.09,0.15,0.1,0.11,0.1,0.07,0.09,0.09
a_0,0.45,0.44,0.46,0.63,0.71,0.87,0.16,0.12,0.09,0.18,0.06,0.11,0.07,0.04,0.1,0.07
e_0,0.62,0.77,0.5,0.54,0.56,0.42,0.11,0.1,0.09,0.14,0.11,0.05,0.08,0.11,0.04,0.06
g_0,0.51,0.51,0.48,0.54,0.53,0.55,0.11,0.11,0.1,0.25,0.1,0.1,0.05,0.1,0.1,0.09
