,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.37,1.93,1.22,1.28,1.13,1.01,2.01,2.5,2.35,2.12,2.39,1.96,3.01,2.41,3.07,1.99
e_1,1.04,2.43,1.11,1.39,1.37,1.33,2.26,2.27,4.52,2.73,2.93,3.07,2.9,2.69,3.47,2.13
d_1,1.33,1.1,2.55,1.13,1.2,1.17,2.63,2.26,1.81,4.14,3.25,2.78,3.55,2.81,2.89,3.04
c_1,1.28,1.16,1.12,2.61,1.94,1.19,2.44,2.13,2.06,1.84,1.93,2.92,3.13,3.07,2.93,2.57
b_1,1.26,1.16,1.13,1.12,2.79,2.12,2.57,2.21,2.65,2.61,1.64,2.4,3.73,2.1,3.66,2.91
a_1,1.47,1.11,1.4,1.2,1.06,3.25,2.55,2.61,2.62,2.98,2.94,2.83,4.12,2.21,3.21,2.75
h_1,1.81,1.28,1.41,1.36,1.16,1.07,4.04,3.42,3.02,2.93,2.89,2.62,2.66,2.88,4.88,3.13
g_1,1.27,1.28,1.87,1.4,1.29,1.27,2.4,4.42,2.76,2.86,2.78,4.0,3.24,3.13,2.96,3.12
d_0,1.45,1.07,1.06,2.38,1.26,1.34,2.6,2.28,4.03,2.25,3.24,2.65,3.48,3.04,3.69,4.03
c_0,1.63,1.2,1.41,1.15,0.97,1.18,2.82,2.97,2.94,4.17,5.06,2.7,4.27,3.67,4.37,4.02
b_0,1.56,1.24,1.43,1.63,1.01,1.17,2.98,3.14,2.89,2.59,4.32,2.79,3.66,5.35,3.83,3.41
f_0,1.09,1.01,1.63,1.44,1.38,1.4,2.82,2.21,3.15,3.78,3.27,4.6,3.61,3.2,3.78,5.95
h_0,1.83,1.35,1.43,1.39,1.26,1.15,2.04,3.29,2.72,2.57,3.01,2.86,3.11,2.97,4.72,2.8
a_0,1.72,1.16,1.47,1.33,1.37,0.93,2.98,2.62,2.82,2.54,2.63,3.19,3.99,4.96,3.89,3.74
g_0,1.23,1.11,1.99,1.4,1.26,1.24,2.02,2.24,2.85,2.73,3.28,4.47,3.36,3.15,3.38,3.48
e_0,1.89,1.15,1.25,1.62,1.15,1.27,2.83,2.75,2.8,2.71,3.35,2.36,4.63,3.65,4.04,5.37
