,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.88,0.16,0.09,0.07,0.05,0.05,0.08,0.06,0.07,0.07,0.02,0.07,0.06,0.04,0.04,0.05
e_1,0.09,0.88,0.08,0.08,0.08,0.03,0.06,0.07,0.16,0.08,0.07,0.07,0.08,0.05,0.02,0.05
d_1,0.1,0.08,0.88,0.07,0.06,0.04,0.08,0.07,0.02,0.15,0.09,0.07,0.08,0.05,0.06,0.05
c_1,0.09,0.09,0.09,0.88,0.13,0.04,0.07,0.07,0.07,0.01,0.09,0.05,0.06,0.05,0.05,0.05
b_1,0.09,0.1,0.09,0.07,0.87,0.09,0.09,0.06,0.11,0.05,0.05,0.01,0.08,0.03,0.04,0.04
a_1,0.12,0.07,0.1,0.07,0.07,0.87,0.09,0.06,0.05,0.07,0.06,0.06,0.09,0.01,0.05,0.05
h_1,0.23,0.13,0.16,0.14,0.1,0.09,0.52,0.14,0.15,0.1,0.11,0.1,0.05,0.08,0.09,0.12
g_1,0.17,0.14,0.21,0.12,0.1,0.1,0.13,0.52,0.1,0.11,0.16,0.1,0.11,0.09,0.09,0.03
d_0,0.14,0.17,0.04,0.28,0.12,0.09,0.14,0.12,0.37,0.1,0.13,0.11,0.1,0.1,0.07,0.09
c_0,0.19,0.16,0.2,0.05,0.11,0.05,0.15,0.11,0.11,0.38,0.12,0.26,0.12,0.13,0.1,0.12
f_0,0.06,0.15,0.22,0.17,0.12,0.07,0.17,0.12,0.14,0.17,0.39,0.1,0.15,0.07,0.18,0.15
b_0,0.17,0.13,0.2,0.17,0.03,0.07,0.13,0.11,0.15,0.13,0.14,0.39,0.15,0.2,0.1,0.13
h_0,0.24,0.15,0.16,0.14,0.09,0.08,0.05,0.17,0.14,0.12,0.09,0.13,0.05,0.08,0.07,0.13
a_0,0.18,0.14,0.21,0.16,0.14,,0.11,0.09,0.12,0.11,0.13,0.1,0.13,0.36,0.11,0.14
e_0,0.19,0.06,0.15,0.16,0.13,0.11,0.16,0.11,0.19,0.15,0.14,0.13,0.16,0.09,0.35,0.07
g_0,0.11,0.16,0.26,0.14,0.11,0.07,0.14,0.06,0.09,0.14,0.16,0.14,0.09,0.07,0.1,
