,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.48,0.74,0.55,0.43,0.39,0.36,0.53,0.46,0.42,0.51,0.45,0.19,0.46,0.33,0.45,0.36
e_1,0.51,1.49,0.44,0.33,0.42,0.35,0.54,0.97,0.57,0.5,0.6,0.57,0.61,0.28,0.6,0.52
c_1,0.45,0.5,1.53,0.51,0.77,0.41,0.52,0.47,0.47,0.21,0.39,0.44,0.51,0.37,0.38,0.58
d_1,0.54,0.57,0.37,1.58,0.38,0.3,0.61,0.26,0.45,0.94,0.59,0.46,0.68,0.54,0.42,0.53
b_1,0.51,0.48,0.37,0.52,1.6,0.77,0.47,0.62,0.47,0.56,0.25,0.61,0.61,0.53,0.35,0.52
a_1,0.56,0.53,0.48,0.6,0.31,1.73,0.58,0.74,0.53,0.52,0.58,0.58,0.72,0.59,0.26,0.61
h_1,0.96,0.72,0.74,0.66,0.75,0.51,1.68,0.81,0.95,0.82,0.7,0.73,0.52,0.77,0.6,0.87
d_0,0.95,0.56,1.32,0.45,0.58,0.44,0.94,1.47,0.92,0.84,0.91,0.76,0.99,0.86,0.81,0.94
g_1,0.83,0.58,0.7,1.05,0.79,0.54,0.78,0.82,1.78,0.96,0.85,1.09,0.75,0.8,0.75,0.4
c_0,1.01,0.8,0.7,0.75,0.54,0.55,0.87,0.96,0.81,1.54,1.67,0.99,0.92,0.72,0.93,0.86
b_0,0.95,0.8,0.87,0.76,0.49,0.58,1.18,1.0,0.84,0.75,1.6,0.96,0.86,0.87,1.34,0.94
f_0,0.56,0.74,0.98,0.81,0.8,0.69,1.03,1.16,0.82,0.79,0.95,1.65,0.97,1.3,0.71,0.94
h_0,1.02,0.75,0.96,0.79,0.76,0.64,0.51,0.98,1.05,1.09,0.92,0.83,0.71,1.0,0.71,1.23
e_0,1.0,0.31,1.3,0.66,0.85,0.63,1.1,0.87,0.82,1.08,0.86,0.98,1.02,1.66,0.7,1.07
a_0,0.84,0.73,1.03,0.74,0.85,0.48,1.13,1.06,0.96,0.87,0.86,0.96,1.13,0.83,1.7,1.14
g_0,0.72,0.77,0.89,1.1,0.91,0.58,0.97,0.97,0.54,0.88,0.8,1.35,0.83,0.95,0.62,0.6
