,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.67,0.75,0.99,1.3,1.03,1.02,0.48,0.48,0.48,0.36,0.34,0.4,0.3,0.47,0.35,0.35
f_1,1.22,0.66,0.98,1.04,1.06,0.85,0.37,0.43,0.52,0.37,0.37,0.36,0.25,0.28,0.33,0.3
d_1,1.22,1.28,0.64,1.06,1.07,0.86,0.48,0.54,0.32,0.43,0.39,0.36,0.31,0.38,0.33,0.22
c_1,0.88,1.2,1.3,0.63,1.28,1.0,0.49,0.26,0.56,0.49,0.41,0.43,0.33,0.37,0.35,0.29
b_1,1.3,1.13,1.26,0.72,0.62,1.33,0.52,0.45,0.56,0.51,0.69,0.44,0.43,0.42,0.45,0.33
a_1,1.36,1.62,1.71,1.39,0.79,0.56,0.69,0.53,0.59,0.6,0.58,0.52,0.43,0.5,0.78,0.42
h_1,1.72,2.05,1.72,1.74,1.69,1.46,0.55,0.68,0.88,0.62,0.62,0.5,0.6,0.54,0.55,0.51
d_0,1.31,1.89,2.27,2.58,1.8,1.74,0.95,0.58,0.93,0.71,0.68,0.68,0.56,0.59,0.61,0.68
g_1,1.87,2.03,2.07,1.92,1.8,1.69,0.66,0.72,0.53,0.68,0.73,0.75,0.47,0.65,0.6,0.57
c_0,2.3,2.14,1.32,2.87,2.02,1.5,0.92,0.9,0.78,0.57,0.79,0.77,0.56,0.69,0.66,0.55
b_0,2.17,1.98,1.73,2.53,2.48,1.74,0.94,0.84,0.85,0.5,0.55,0.72,0.62,0.76,0.74,0.61
f_0,1.98,2.97,2.0,2.24,2.07,1.72,1.17,0.71,0.65,0.73,0.76,0.56,0.58,0.79,0.64,0.43
h_0,2.14,2.48,2.12,2.35,1.92,1.9,1.16,0.86,0.97,0.79,0.79,0.83,0.8,0.77,0.72,0.78
e_0,2.56,3.32,1.98,2.9,2.61,1.93,1.09,0.93,0.9,0.86,0.76,0.53,0.68,0.51,0.72,0.67
a_0,2.49,2.54,2.15,2.78,2.83,2.57,1.24,0.93,1.01,0.75,0.51,1.12,0.67,0.88,0.54,0.7
g_0,2.44,2.71,2.69,2.74,2.48,2.02,0.94,0.88,1.19,0.99,1.03,0.94,0.58,0.79,0.83,0.76
