,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.75,0.94,1.13,0.91,0.73,0.5,0.58,0.41,0.4,0.41,0.46,0.36,0.29,0.35,0.37
f_1,1.35,1.0,0.94,0.88,0.84,0.57,0.41,0.41,0.44,0.39,0.43,0.33,0.32,0.29,0.35,0.25
d_1,1.06,1.07,1.0,0.92,0.85,0.78,0.5,0.43,0.4,0.58,0.4,0.43,0.34,0.35,0.25,0.3
c_1,0.89,1.14,1.09,1.0,1.29,0.7,0.56,0.35,0.45,0.41,0.41,0.36,0.37,0.33,0.33,0.28
b_1,1.12,1.18,1.19,0.78,1.0,1.28,0.62,0.52,0.48,0.59,0.5,0.5,0.36,0.35,0.33,0.45
a_1,1.35,1.76,1.29,1.44,0.78,1.0,0.57,0.59,0.74,0.52,0.5,0.5,0.52,0.45,0.46,0.39
h_1,2.05,2.48,2.11,1.76,1.57,1.6,1.0,0.89,1.09,0.81,0.85,0.82,0.8,0.62,0.9,0.73
d_0,1.76,2.27,2.43,2.9,2.14,1.65,1.12,1.0,0.99,0.84,0.88,0.91,0.86,0.79,0.81,0.8
g_1,2.37,2.22,2.57,2.22,2.12,1.43,0.94,1.01,1.0,0.91,1.01,1.05,0.72,0.73,0.67,0.74
c_0,2.34,2.5,1.69,2.34,1.77,2.04,1.27,1.1,1.02,1.0,1.4,1.1,0.93,0.84,0.9,0.91
b_0,2.4,2.21,2.49,2.51,1.99,1.87,1.19,1.18,0.99,0.73,1.0,1.03,0.85,1.05,0.87,0.76
f_0,2.21,2.9,2.41,2.6,2.15,1.94,1.17,1.09,0.93,0.91,1.0,1.0,0.88,0.78,0.67,1.07
h_0,2.77,3.04,2.88,2.84,2.7,1.7,1.25,1.15,1.44,1.08,1.17,1.12,1.0,0.8,1.04,0.9
a_0,3.39,3.45,2.8,2.98,3.05,1.71,1.66,1.25,1.47,1.12,1.0,1.3,1.33,1.0,0.97,1.08
g_0,2.88,2.77,3.98,3.06,2.98,2.14,1.09,1.25,1.56,1.07,1.11,1.44,0.93,1.03,1.0,1.25
e_0,2.85,3.59,3.32,3.48,2.53,2.53,1.29,1.2,1.29,1.13,1.19,0.96,1.12,0.96,0.83,1.0
