,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.57,0.58,0.73,0.54,0.6,0.55,1.0,0.93,1.71,0.45,1.26,1.02,0.92,1.16,1.1,1.11
e_1,0.51,2.58,0.7,0.78,0.68,0.66,0.86,0.83,0.85,1.72,0.93,1.05,1.04,1.12,0.41,0.92
f_1,0.6,1.16,2.64,0.65,0.6,0.48,0.69,0.74,0.83,0.83,0.98,0.44,0.98,0.75,0.66,0.63
c_1,0.69,0.59,0.61,3.04,1.15,0.62,0.91,0.78,0.36,0.84,0.63,0.91,0.87,0.69,0.68,0.95
b_1,0.71,0.55,0.65,0.61,3.35,1.26,1.02,0.86,0.78,0.75,0.47,0.87,0.72,0.59,1.17,0.97
a_1,0.75,0.67,0.73,0.62,0.48,4.5,0.93,1.02,0.84,1.08,0.88,1.09,1.23,0.56,1.19,1.04
h_1,0.8,0.68,1.07,0.86,0.81,0.77,2.61,1.42,1.03,1.09,1.17,1.07,0.7,0.86,1.3,1.56
g_1,1.3,0.63,0.45,0.87,0.76,0.74,0.94,3.24,1.09,0.84,1.06,1.75,1.08,1.3,1.45,0.8
c_0,0.95,0.84,0.78,0.48,0.68,0.77,1.0,1.18,2.02,1.17,2.27,1.21,1.29,1.44,1.28,1.2
d_0,0.41,0.81,0.84,1.64,0.71,0.69,1.13,1.19,0.8,2.11,0.93,1.13,1.15,1.08,1.29,1.26
b_0,0.98,0.84,0.86,0.71,0.43,0.57,1.25,1.15,1.26,1.1,2.38,1.08,1.41,2.73,1.13,1.36
f_0,0.92,0.56,0.5,0.79,0.76,1.03,1.28,1.41,1.25,1.13,1.2,2.43,1.49,1.21,2.99,1.2
h_0,0.96,0.78,1.19,0.86,0.81,0.54,0.66,1.38,1.15,1.03,0.81,0.92,0.72,1.28,0.87,1.46
a_0,0.96,0.83,0.82,0.9,0.66,0.42,1.29,1.25,1.28,1.2,1.22,1.29,1.34,2.8,1.17,1.06
e_0,0.93,0.46,0.92,0.93,0.75,0.8,1.42,1.1,1.16,1.05,1.22,1.2,1.52,1.29,3.14,1.29
g_0,1.33,0.6,0.76,0.72,0.62,0.68,1.04,0.85,1.25,0.96,1.07,1.82,1.11,1.36,1.16,1.07
