,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.3,1.21,0.9,1.29,0.87,0.82,1.95,3.66,1.74,1.89,2.19,1.9,1.89,2.87,2.64,1.47
f_1,1.7,2.32,0.97,1.03,0.8,0.79,1.87,2.37,1.65,2.14,1.97,1.34,1.71,2.65,2.23,1.31
d_1,1.12,1.22,2.46,0.84,0.86,0.78,2.14,1.64,1.58,3.72,2.53,2.15,2.11,3.01,2.8,1.95
c_1,1.01,1.03,1.06,2.52,1.63,0.87,1.95,1.99,1.62,1.4,1.56,1.89,1.62,2.42,2.06,1.95
b_1,1.01,1.03,1.09,0.99,2.83,1.6,2.1,1.89,1.82,2.07,1.49,2.19,1.48,2.74,2.47,1.97
a_1,1.18,1.15,1.1,1.08,0.82,3.18,2.34,2.08,1.87,2.24,2.24,2.22,1.31,2.67,2.95,1.68
h_1,1.21,1.53,1.24,0.97,0.96,0.8,3.4,2.0,2.05,2.21,1.94,2.02,1.84,2.29,3.28,2.1
d_0,1.06,1.23,0.87,1.93,1.05,0.8,2.05,3.22,1.74,1.59,2.17,1.96,1.94,2.64,2.47,2.02
g_1,1.08,0.97,1.63,1.15,0.94,0.76,2.13,2.02,3.83,2.33,2.45,3.38,2.16,2.69,2.29,2.5
c_0,1.32,1.31,1.14,1.11,0.84,0.72,2.13,2.6,1.8,3.36,3.88,2.44,2.61,3.08,3.29,2.07
b_0,1.19,1.35,1.2,1.26,0.83,0.57,2.14,2.64,1.9,2.01,3.39,2.43,3.83,2.85,2.73,2.09
f_0,1.04,1.1,1.32,1.21,1.06,0.84,1.95,2.36,1.81,2.13,2.4,3.6,2.24,3.25,3.16,4.12
a_0,1.15,1.25,1.36,1.39,1.03,0.56,2.28,2.5,2.01,2.15,2.17,2.37,3.82,2.89,2.83,2.64
h_0,1.21,1.48,1.19,1.16,0.84,0.99,1.9,2.52,2.5,2.03,2.15,2.06,2.13,2.08,3.44,1.96
g_0,1.02,1.12,1.62,1.14,0.96,0.75,2.24,2.09,1.42,2.13,2.43,3.02,2.42,2.74,2.26,2.3
e_0,0.93,1.42,1.18,1.14,1.11,0.94,2.09,2.33,2.01,2.41,2.26,2.1,2.2,3.16,2.62,3.68
