,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.43,0.82,0.8,0.91,0.81,0.8,0.21,0.3,0.17,0.19,0.18,0.2,0.18,0.1,0.15,0.14
e_1,0.59,0.42,0.98,1.01,0.99,0.95,0.27,0.29,0.19,0.22,0.2,0.23,0.19,0.14,0.24,0.16
d_1,1.06,0.97,0.41,0.92,0.87,0.75,0.23,0.18,0.19,0.27,0.21,0.18,0.16,0.12,0.19,0.09
c_1,0.97,0.82,1.1,0.4,1.04,0.85,0.27,0.28,0.27,0.12,0.19,0.2,0.18,0.14,0.19,0.14
b_1,1.06,1.09,1.15,0.63,0.38,0.95,0.31,0.3,0.27,0.22,0.29,0.23,0.2,0.14,0.21,0.15
a_1,1.52,1.32,1.37,1.16,0.65,0.31,0.38,0.36,0.28,0.3,0.4,0.28,0.39,0.2,0.33,0.19
h_1,1.8,1.63,1.68,1.6,1.57,1.53,0.29,0.5,0.37,0.35,0.34,0.34,0.33,0.3,0.29,0.25
g_1,1.99,1.91,2.02,1.84,1.79,1.81,0.46,0.27,0.43,0.42,0.39,0.37,0.34,0.21,0.37,0.35
c_0,2.14,2.02,1.31,2.75,1.97,1.85,0.69,0.5,0.3,0.62,0.45,0.42,0.4,0.27,0.44,0.29
d_0,1.74,1.25,3.19,2.31,2.23,2.09,0.63,0.65,0.4,0.3,0.4,0.44,0.4,0.28,0.46,0.34
b_0,1.99,1.98,1.68,2.65,2.72,2.25,0.6,0.58,0.25,0.47,0.28,0.38,0.4,0.3,0.43,0.28
f_0,2.92,2.08,2.24,1.87,2.06,1.89,0.59,0.43,0.45,0.47,0.44,0.28,0.42,0.29,0.38,0.2
a_0,2.47,2.44,2.41,2.52,2.81,2.64,0.6,0.68,0.4,0.55,0.28,0.54,0.28,0.36,0.45,0.33
h_0,2.54,2.55,2.41,2.39,2.44,2.04,0.76,0.64,0.5,0.5,0.46,0.47,0.42,0.49,0.4,0.33
e_0,3.47,3.31,2.64,2.51,2.44,1.96,0.73,0.57,0.55,0.53,0.5,0.3,0.45,0.37,0.25,0.28
g_0,2.72,2.85,2.84,2.66,2.86,2.26,0.62,0.81,0.55,0.58,0.54,0.5,0.49,0.3,0.5,0.44
