,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.54,1.39,0.74,0.83,0.81,0.69,0.98,1.06,1.16,1.01,1.13,0.72,0.86,0.95,0.61,0.91
e_1,0.85,1.54,0.85,1.04,0.87,0.71,1.07,1.01,1.69,1.0,1.08,1.1,0.95,1.13,0.77,1.06
d_1,1.09,0.88,1.58,0.73,0.81,0.64,1.11,1.62,0.76,0.85,1.18,1.08,1.07,1.15,1.03,1.04
c_1,0.89,0.79,0.9,1.59,1.42,0.7,0.97,0.83,0.89,0.9,0.8,1.07,0.89,1.03,0.9,0.84
b_1,0.94,0.87,0.94,0.79,1.61,1.37,0.98,1.04,0.97,1.01,0.89,0.97,0.8,1.26,0.92,1.21
a_1,1.15,0.91,1.06,1.03,0.73,1.73,1.25,1.17,1.18,1.08,1.23,1.07,0.9,1.27,1.08,1.17
h_1,1.43,1.17,1.09,1.1,0.96,0.84,1.83,1.33,1.3,1.36,1.43,1.22,1.24,1.25,1.08,1.56
c_0,1.26,1.21,1.14,0.99,0.92,0.98,1.4,1.77,1.42,1.35,2.12,1.29,1.57,1.51,1.16,1.46
d_0,1.13,1.01,0.99,1.83,1.26,0.87,1.27,1.05,1.76,1.31,1.2,1.3,1.2,1.33,1.07,1.34
g_1,1.07,1.01,1.59,1.2,1.06,0.93,1.32,1.38,1.18,1.9,1.3,1.82,1.16,1.32,1.2,1.27
b_0,1.18,1.23,1.2,1.32,0.87,0.87,1.37,1.26,1.48,1.38,1.76,1.39,1.94,1.47,1.1,1.39
f_0,1.2,0.97,1.2,1.28,1.19,1.02,1.44,1.39,1.4,1.15,1.25,1.83,1.19,1.43,2.21,1.36
a_0,1.46,1.25,1.34,1.17,1.06,0.91,1.49,1.4,1.5,1.32,1.4,1.31,1.79,1.74,1.28,1.59
h_0,1.58,1.22,1.28,1.24,1.06,1.08,1.07,1.48,1.55,1.62,1.51,1.24,1.16,1.27,1.26,1.7
e_0,1.6,0.96,1.1,1.32,1.18,1.11,1.56,1.58,1.53,1.46,1.66,1.17,1.34,1.76,1.87,1.57
g_0,1.24,1.18,1.7,1.32,1.06,1.05,1.41,1.54,1.34,1.17,1.39,1.72,1.28,1.4,1.4,1.24
