,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,36.74,0.07,0.04,0.09,0.07,0.05,0.32,0.29,0.71,0.37,0.37,0.3,0.66,0.36,,0.51
f_1,0.13,37.77,0.07,0.08,0.05,0.07,0.25,0.22,0.35,0.48,,0.39,0.56,0.37,0.45,0.37
d_1,0.06,0.06,41.32,0.06,0.07,0.07,0.32,0.33,,0.76,0.31,0.45,0.77,0.36,0.38,0.41
c_1,0.06,0.05,0.08,43.38,0.11,0.07,0.37,0.21,0.42,,0.34,0.37,0.67,0.43,0.3,0.61
b_1,0.06,0.06,0.08,0.05,44.11,0.13,0.24,0.27,0.4,0.4,0.52,,0.7,0.36,0.38,0.55
a_1,0.07,0.05,0.09,0.06,0.06,67.76,0.31,0.27,0.31,0.46,0.43,0.39,0.57,,0.66,0.39
h_1,0.25,0.35,0.24,0.27,0.31,0.27,27.5,1.22,1.57,1.07,1.02,1.59,,1.08,1.57,4.42
g_1,0.23,0.23,0.4,0.32,0.29,0.24,1.05,32.99,1.22,1.58,2.58,1.63,1.05,1.39,1.08,
d_0,0.29,0.48,,0.58,0.38,0.39,1.63,2.01,18.36,1.67,1.63,1.64,3.32,1.73,1.73,2.95
c_0,0.57,0.4,0.32,,0.24,0.37,1.79,1.34,1.94,17.92,2.2,4.3,2.49,2.13,1.78,2.3
f_0,0.29,,0.3,0.48,0.49,0.35,1.94,1.83,1.94,1.39,21.81,1.38,2.88,1.73,3.49,3.91
b_0,0.38,0.37,0.33,0.43,,0.22,1.31,1.1,2.03,2.39,1.65,22.42,3.99,3.32,2.4,2.88
h_0,0.5,0.89,0.44,0.37,0.5,0.69,,3.09,3.81,2.62,3.39,3.3,,2.37,2.52,6.64
a_0,0.24,0.35,0.29,0.26,0.43,,1.49,1.89,1.53,2.04,1.74,2.01,3.56,36.09,,3.31
e_0,,0.32,0.64,0.28,0.31,,1.86,1.38,1.75,2.94,1.99,,3.61,,32.68,3.06
g_0,0.39,0.46,1.0,0.51,0.57,0.51,1.71,,2.77,3.18,5.51,2.77,4.69,2.25,3.3,
