,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,8.51,9.07,7.86,9.07,6.42,2.98,2.67,2.67,2.46,3.04,,2.04,2.78,1.73,2.77
d_1,10.65,1.07,9.23,9.83,6.94,8.49,4.07,2.53,3.13,,2.31,2.97,1.7,2.22,1.61,2.43
e_1,7.26,11.11,1.07,8.06,10.49,7.25,3.55,3.6,2.77,3.3,2.42,2.57,2.03,1.94,2.38,
c_1,10.37,11.64,13.0,1.07,8.85,13.66,3.32,3.84,,1.83,3.03,2.92,2.11,2.76,2.38,2.41
b_1,9.72,13.39,11.91,7.49,1.07,13.06,4.07,3.74,3.78,3.35,,2.71,2.61,2.47,2.11,2.71
a_1,17.32,15.83,14.61,10.88,8.22,1.07,6.08,4.68,3.78,3.57,,,2.74,,2.51,
h_1,12.15,11.92,12.62,14.61,11.89,9.5,1.41,5.08,4.26,4.46,3.64,3.47,,2.9,3.67,3.52
g_1,24.01,17.09,17.46,17.11,16.86,14.05,5.29,1.41,4.36,3.46,5.35,3.96,2.99,5.35,,
c_0,13.32,9.62,15.53,,16.29,13.69,4.76,5.04,1.74,5.29,5.16,4.7,2.78,,3.38,3.01
d_0,13.89,,9.92,14.0,15.58,16.57,5.65,8.08,4.29,1.78,4.48,3.89,3.56,4.33,2.71,5.39
b_0,17.35,18.42,20.47,22.91,,,6.04,5.65,3.01,3.98,1.77,5.0,4.35,6.89,4.02,4.18
f_0,,13.04,20.07,17.22,17.18,,7.08,4.77,4.46,5.79,4.05,1.75,4.67,4.65,2.88,4.87
h_0,16.85,19.1,15.19,16.98,15.69,13.64,,5.99,4.82,4.96,3.67,4.28,,3.73,4.27,3.73
a_0,22.16,23.94,27.72,22.69,28.11,,11.63,6.23,,7.55,3.48,6.98,4.59,1.68,4.19,
g_0,25.19,17.99,16.99,17.09,24.46,17.3,5.08,,5.08,6.53,5.08,5.44,3.22,4.5,,4.71
e_0,22.92,24.02,,24.72,19.4,,7.92,,9.43,5.53,5.91,4.22,5.45,,4.13,1.74
