,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,5.97,2.37,1.11,1.18,1.22,1.18,5.25,4.56,6.42,5.71,2.45,5.7,8.47,4.56,6.86,7.09
e_1,1.53,5.99,1.6,1.09,1.1,1.44,4.43,3.98,11.64,5.65,6.84,6.74,8.39,3.43,6.71,9.51
c_1,1.3,1.11,6.32,1.26,2.48,0.9,5.23,4.54,6.0,2.42,6.13,4.14,9.95,7.15,5.96,9.64
d_1,1.52,1.13,1.04,6.5,1.25,0.95,4.92,4.64,3.06,12.93,6.79,6.62,9.99,6.54,5.87,11.64
b_1,1.26,1.18,1.46,1.16,7.38,2.71,5.05,3.87,5.17,5.16,5.39,2.41,7.8,6.27,5.52,8.22
a_1,1.33,1.49,1.52,1.31,1.03,11.29,4.4,5.12,5.97,4.12,6.93,7.79,8.86,8.21,2.66,7.43
h_1,2.15,1.46,1.57,1.65,1.36,1.4,15.81,7.82,6.88,6.58,6.62,6.76,6.1,8.53,6.32,13.5
g_1,1.39,1.18,1.42,2.75,1.46,1.49,4.84,19.69,6.56,7.43,11.54,8.15,9.63,7.34,8.24,6.26
d_0,1.52,1.64,3.02,0.67,1.52,1.74,5.13,5.97,14.01,5.34,8.17,7.86,11.37,7.45,8.84,10.42
c_0,1.95,1.59,1.08,1.93,0.93,1.56,5.31,5.83,7.83,15.99,7.6,17.16,13.05,8.89,9.08,14.63
f_0,0.89,1.25,1.93,1.93,1.77,1.68,5.64,5.38,8.65,7.54,17.8,8.96,12.44,16.43,6.44,10.87
b_0,1.64,1.6,1.58,2.14,0.67,1.05,5.65,7.14,7.8,7.99,7.36,19.53,14.17,7.77,17.3,11.19
h_0,2.11,1.53,1.67,1.78,1.54,1.29,3.89,8.52,7.77,7.64,7.38,7.99,7.59,7.99,9.71,15.41
e_0,1.81,0.7,1.71,1.86,1.64,1.63,5.66,6.88,7.17,9.49,8.79,11.06,13.37,23.72,9.49,12.37
a_0,1.62,1.42,1.86,2.03,1.37,0.82,6.86,6.46,7.51,7.85,6.65,8.53,12.81,6.71,23.89,13.73
g_0,1.3,1.4,1.4,2.59,1.72,1.38,5.23,3.9,6.25,7.82,12.37,8.42,12.64,10.22,8.24,7.22
