,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.53,0.5,0.62,0.5,0.36,0.32,0.35,0.33,0.52,0.31,0.35,0.34,0.26,0.19,0.31
f_1,0.85,0.95,0.49,0.52,0.44,0.34,0.32,0.33,0.31,0.32,0.31,0.21,0.28,0.22,0.17,0.24
d_1,0.57,0.65,0.96,0.43,0.43,0.41,0.39,0.32,0.54,0.27,0.36,0.33,0.34,0.32,0.25,0.28
c_1,0.51,0.58,0.58,0.95,0.83,0.36,0.35,0.34,0.22,0.32,0.26,0.3,0.32,0.23,0.26,0.24
b_1,0.6,0.65,0.54,0.45,0.95,0.66,0.39,0.35,0.37,0.37,0.28,0.33,0.36,0.24,0.28,0.26
a_1,0.72,0.65,0.64,0.62,0.44,0.94,0.52,0.39,0.45,0.44,0.47,0.39,0.45,0.28,0.32,0.3
h_1,0.91,1.07,0.88,0.76,0.61,0.51,0.79,0.61,0.52,0.46,0.45,0.52,0.41,0.39,0.32,0.51
g_1,0.82,0.78,1.09,0.8,0.69,0.59,0.51,0.78,0.58,0.48,0.52,0.72,0.45,0.36,0.4,0.32
c_0,0.93,1.03,0.83,0.79,0.66,0.54,0.63,0.54,0.73,0.59,0.8,0.52,0.54,0.52,0.45,0.49
d_0,0.81,1.03,0.7,1.31,0.84,0.55,0.61,0.51,0.4,0.68,0.47,0.48,0.53,0.34,0.37,0.42
b_0,0.95,0.97,0.98,0.93,0.68,0.42,0.67,0.56,0.52,0.54,0.72,0.52,0.6,0.74,0.37,0.47
f_0,0.79,1.0,0.94,0.96,0.77,0.59,0.63,0.53,0.63,0.62,0.6,0.71,0.6,0.47,0.75,0.43
h_0,1.0,1.35,0.97,0.86,0.74,0.49,0.58,0.76,0.56,0.61,0.57,0.5,0.54,0.53,0.43,0.56
a_0,1.04,1.12,0.97,0.99,0.75,0.57,0.71,0.69,0.67,0.7,0.51,0.58,0.58,0.67,0.5,0.54
e_0,0.84,1.34,1.09,1.03,0.87,0.67,0.79,0.63,0.61,0.63,0.62,0.43,0.64,0.4,0.66,0.5
g_0,0.88,1.03,1.37,1.01,0.85,0.7,0.6,0.68,0.66,0.58,0.67,0.78,0.58,0.51,0.49,0.47
