,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.77,0.67,0.93,0.57,0.58,0.58,0.82,2.19,0.95,0.86,1.11,1.14,0.93,1.14,0.59,0.85
f_1,1.76,11.9,0.64,0.66,0.51,0.48,0.78,0.99,0.83,0.99,0.99,0.54,0.84,0.88,0.58,0.89
c_1,0.49,0.65,12.8,0.59,1.82,0.62,0.81,0.85,0.79,0.33,0.54,0.91,0.91,0.82,0.93,0.97
d_1,0.63,0.72,0.42,15.72,0.58,0.63,1.01,0.53,1.2,2.5,1.38,1.07,1.02,1.21,1.06,0.99
b_1,0.47,0.63,0.62,0.63,15.54,2.02,0.97,0.75,0.85,0.86,0.49,0.86,1.16,0.68,1.07,1.01
a_1,0.58,0.84,0.79,0.65,0.58,23.25,1.15,0.83,0.7,0.81,1.09,0.99,1.06,0.54,1.22,0.96
h_1,0.57,1.34,0.84,0.85,0.71,0.61,4.01,0.86,1.35,0.74,1.01,0.92,0.89,1.03,1.35,1.6
d_0,0.66,0.69,2.39,0.34,0.87,0.71,1.24,2.41,0.92,0.62,0.9,1.02,1.03,0.87,1.07,0.91
g_1,0.7,0.53,0.62,2.22,0.58,0.5,1.18,0.7,4.79,1.18,1.17,1.86,0.86,1.03,1.29,0.85
c_0,0.98,0.79,0.53,0.94,0.42,0.66,1.17,1.02,1.24,2.46,2.84,1.1,1.19,1.4,1.15,1.25
b_0,0.73,0.71,0.95,1.03,0.49,0.47,1.05,1.03,1.06,1.16,2.74,1.08,1.19,3.02,1.42,1.3
f_0,0.56,0.54,0.93,0.83,0.76,0.78,1.41,1.07,1.27,1.3,1.33,3.15,1.2,1.26,3.29,1.27
h_0,0.64,1.26,0.73,1.1,0.52,0.59,0.86,0.83,1.52,1.18,1.1,1.19,0.84,1.11,1.26,1.87
a_0,0.85,0.72,0.77,0.96,0.79,0.37,1.08,1.15,1.06,1.22,0.99,1.2,1.07,3.05,1.27,1.2
e_0,0.49,0.93,0.98,0.77,0.7,0.76,1.53,0.9,1.17,1.07,1.05,1.32,1.61,1.05,3.49,1.38
g_0,0.53,0.79,0.64,1.72,0.67,0.71,0.91,0.76,0.84,1.15,1.16,2.06,1.69,1.12,1.42,0.97
