,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,11.67,0.64,0.53,0.99,0.64,0.55,0.91,0.96,0.76,2.24,1.1,1.04,1.0,0.62,1.22,1.03
f_1,1.53,12.39,0.58,0.61,0.49,0.57,0.8,0.82,0.88,0.95,0.54,0.94,0.84,0.67,0.74,0.9
d_1,0.58,0.72,15.32,0.52,0.55,0.63,0.97,0.86,2.6,0.48,1.04,1.31,1.2,1.09,1.02,0.99
c_1,0.52,0.7,0.58,13.96,1.79,0.67,0.93,0.81,0.39,0.84,0.9,0.6,1.0,0.84,0.88,0.93
b_1,0.55,0.55,0.68,0.58,15.83,1.74,1.02,0.85,0.84,0.77,0.92,0.46,0.85,1.26,0.9,0.77
a_1,0.61,0.72,0.9,0.61,0.62,20.27,1.02,1.07,0.95,0.8,0.94,0.89,1.2,0.89,0.98,0.5
h_1,0.7,1.26,0.78,0.74,0.57,0.7,3.85,1.79,1.07,0.96,0.91,1.04,0.72,1.27,1.35,0.93
g_1,0.71,0.64,1.45,0.68,0.48,0.76,1.05,4.74,1.16,0.89,1.84,1.14,0.76,1.22,0.83,1.1
c_0,0.79,0.78,1.1,0.47,0.49,0.81,0.96,1.16,2.53,1.09,1.32,3.63,1.03,1.25,1.02,1.53
d_0,0.74,0.84,0.39,2.51,0.92,0.67,0.88,0.97,0.54,2.15,1.17,0.94,1.13,1.0,1.14,1.0
f_0,0.57,0.52,0.78,1.04,0.91,0.69,1.16,0.98,1.14,1.2,2.95,1.36,1.16,3.2,1.37,1.08
b_0,0.71,0.77,1.05,0.84,0.55,0.54,1.06,1.26,1.16,1.16,1.32,3.35,1.38,1.41,1.0,3.99
h_0,0.69,1.07,0.98,0.76,0.67,0.73,0.61,1.4,0.98,1.11,1.02,1.13,0.75,0.99,1.87,1.16
e_0,0.37,1.08,0.82,0.9,0.76,0.81,1.32,1.32,1.03,0.73,1.15,1.25,1.22,3.68,1.1,0.99
g_0,0.58,0.62,1.6,0.77,0.76,0.75,1.16,0.67,1.15,0.86,2.21,1.14,1.07,1.71,1.01,1.17
a_0,0.63,0.92,1.13,0.82,0.79,0.42,1.2,1.04,0.74,1.1,1.21,1.1,1.13,1.14,1.14,3.81
