,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,5.47,1.47,1.69,1.1,1.27,1.08,4.7,10.75,5.51,7.71,4.29,6.53,9.93,6.91,2.86,9.08
f_1,2.32,5.49,1.28,1.22,1.22,0.99,4.08,5.16,5.24,4.73,4.09,2.32,7.86,7.02,4.88,7.84
c_1,1.2,1.19,6.34,1.37,2.48,1.3,5.16,5.52,1.6,3.42,3.8,4.94,7.74,4.83,7.76,9.35
d_1,1.34,1.36,0.81,6.86,1.19,1.39,4.94,2.5,11.77,8.82,6.11,7.52,10.05,6.53,7.04,10.95
b_1,1.0,1.38,1.43,1.38,7.61,2.66,4.28,6.34,5.7,2.53,3.38,6.14,8.21,5.3,6.06,7.71
a_1,1.05,1.47,1.42,1.37,1.16,10.94,5.16,6.39,7.96,7.0,4.86,6.5,12.77,2.79,7.75,8.1
h_1,1.4,2.24,1.69,1.55,1.39,1.49,16.56,5.24,7.47,7.93,7.58,8.52,5.04,6.2,8.2,13.81
d_0,1.72,1.38,3.38,0.71,1.54,1.29,6.08,14.6,5.42,7.96,5.59,7.77,10.43,7.76,7.27,12.44
c_0,1.84,1.72,0.75,1.82,1.35,1.52,6.1,7.16,16.68,14.36,6.83,8.87,12.45,8.93,8.36,10.81
b_0,2.02,1.91,1.7,1.42,0.61,1.05,6.41,8.42,9.19,19.87,6.88,7.15,12.63,18.02,7.86,13.54
g_1,1.42,1.52,1.45,2.25,1.46,1.36,7.17,5.25,8.79,8.56,25.42,11.72,10.32,8.78,8.77,6.21
f_0,1.09,1.11,1.78,1.98,1.34,1.5,6.89,8.06,7.92,8.88,8.92,23.35,14.36,7.2,19.68,14.45
h_0,1.44,2.17,1.73,1.83,1.35,1.64,3.68,6.41,8.27,7.91,10.08,7.51,7.77,7.07,8.64,15.02
a_0,1.79,1.67,1.84,1.7,1.24,0.68,6.59,8.64,7.7,8.16,8.78,8.69,12.09,24.13,9.76,13.55
e_0,0.8,1.94,1.49,2.23,1.45,1.68,6.07,5.88,8.15,7.34,8.77,8.62,14.62,8.22,25.54,13.1
g_0,1.13,1.35,1.82,2.78,1.77,1.36,6.21,6.01,8.47,6.99,3.4,13.8,12.39,6.97,8.8,8.56
