,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,1.01,0.88,0.91,1.02,0.65,0.68,0.88,0.52,0.71,0.62,0.5,0.55,,0.57
f_1,1.23,1.0,1.04,0.9,0.95,0.85,0.58,0.85,0.63,0.75,,0.56,0.48,0.48,0.48,0.75
d_1,0.99,0.96,1.0,0.92,1.04,0.7,0.71,0.6,,0.87,0.49,0.74,0.62,0.7,0.52,0.45
c_1,1.13,1.11,1.09,1.0,1.64,0.65,0.67,0.84,0.46,,0.69,0.67,0.55,0.44,0.6,0.54
b_1,1.09,1.06,0.96,0.61,1.0,1.37,0.75,0.84,0.65,0.8,0.72,,0.71,0.65,0.57,0.67
a_1,0.98,1.17,1.43,1.55,0.73,1.0,0.94,,0.84,0.89,0.85,,0.69,,,0.6
h_1,1.55,1.72,1.4,1.48,1.33,1.07,1.0,1.2,0.83,0.77,0.9,0.83,,0.85,0.76,0.77
g_1,1.46,1.18,1.67,1.19,1.19,,0.83,1.0,1.19,1.05,1.08,0.91,0.69,1.26,1.07,
d_0,1.13,1.59,,2.17,1.54,1.2,1.2,0.84,1.0,0.94,0.69,0.89,1.1,0.82,0.82,0.92
c_0,1.92,1.33,1.15,,1.25,1.12,1.3,0.95,1.06,1.0,1.3,1.33,0.79,0.66,0.78,1.19
f_0,1.42,,2.03,1.45,1.4,1.18,1.12,0.92,1.44,0.77,1.0,1.08,1.01,0.72,1.37,0.72
b_0,1.61,1.79,1.35,1.49,,,1.2,1.09,1.13,0.75,0.92,1.0,1.27,1.29,0.75,0.82
h_0,1.98,2.1,1.62,1.83,1.41,1.46,,1.45,0.91,1.26,0.99,0.79,,0.76,0.88,0.91
a_0,1.81,2.07,1.42,2.29,1.54,,1.18,0.8,1.22,1.51,1.38,0.78,1.32,1.0,,
e_0,,2.08,1.91,1.66,1.74,,1.31,0.94,1.22,1.29,0.73,1.33,1.14,,1.0,
g_0,1.77,1.33,2.22,1.84,1.5,1.66,1.3,,1.09,0.84,1.39,1.23,1.09,,,
