,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.26,0.5,0.52,0.46,0.45,0.14,0.16,0.11,0.1,0.09,0.14,0.1,0.07,0.13,0.07
f_1,0.39,0.15,0.46,0.47,0.46,0.4,0.09,0.14,0.09,0.1,0.09,0.14,0.08,0.05,0.08,0.08
c_1,0.36,0.44,0.15,0.5,0.47,0.45,0.14,0.13,0.05,0.09,0.13,0.09,0.09,0.06,0.08,0.06
d_1,0.54,0.46,0.47,0.14,0.47,0.38,0.12,0.08,0.17,0.09,0.08,0.09,0.08,0.06,0.08,0.04
b_1,0.51,0.54,0.27,0.46,0.13,0.47,0.12,0.14,0.09,0.17,0.12,0.08,0.09,0.07,0.1,0.07
a_1,0.44,0.52,0.46,0.42,0.23,0.1,0.17,0.17,0.12,0.13,0.1,0.11,0.16,0.08,0.13,0.08
h_1,0.41,0.52,0.39,0.35,0.38,0.3,0.06,0.11,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07
g_1,0.44,0.39,0.39,0.36,0.41,0.33,0.09,0.05,0.1,0.09,0.08,0.08,0.09,0.04,0.07,0.09
d_0,0.25,0.38,0.42,0.54,0.45,0.43,0.13,0.16,0.06,0.1,0.09,0.1,0.08,0.07,0.09,0.06
b_0,0.38,0.39,0.56,0.3,0.65,0.37,0.12,0.1,0.09,0.05,0.05,0.08,0.08,0.06,0.07,0.05
c_0,0.43,0.42,0.74,0.23,0.43,0.46,0.12,0.11,0.14,0.07,0.05,0.09,0.07,0.06,0.08,0.06
f_0,0.43,0.66,0.33,0.35,0.43,0.43,0.12,0.07,0.08,0.07,0.08,0.04,0.08,0.06,0.07,0.04
a_0,0.39,0.43,0.41,0.37,0.58,0.47,0.11,0.12,0.09,0.04,0.06,0.07,0.04,0.06,0.06,0.05
h_0,0.39,0.4,0.41,0.39,0.39,0.33,0.14,0.11,0.08,0.08,0.07,0.08,0.07,0.08,0.06,0.06
e_0,0.58,0.56,0.36,0.33,0.44,0.37,0.1,0.08,0.08,0.09,0.07,0.04,0.08,0.06,0.03,0.05
g_0,0.4,0.44,0.37,0.41,0.4,0.39,0.09,0.16,0.1,0.08,0.08,0.08,0.07,0.05,0.07,0.07
