,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,10999.57,2130.97,1645.0,1911.63,2283.1,12592.03,1054737.43,4786551.36,4173288.8,6151653.39,2143195.16,10035869.92,29061750.5,63982294.19,33138943.31,132282869.41
e_1,1059.08,11037.77,1403.65,2027.09,3137.33,15801.76,1189916.99,9703441.36,3939672.19,6377589.49,10892820.26,10386059.27,43871538.09,68131024.85,8553043.11,100424987.84
d_1,1056.44,1488.7,17638.84,1500.39,2047.21,16954.46,1087646.94,1220970.46,3620288.7,11811203.09,11186196.31,12377000.87,36242184.73,54769526.88,49499982.13,124157607.04
c_1,1187.3,818.31,1398.12,21224.37,5541.25,14062.55,1258872.43,6065503.98,2965334.89,999050.27,10156730.72,8647718.01,39997847.84,65067978.6,51394866.92,146517701.56
b_1,1320.04,874.73,1740.19,1890.63,34247.47,29625.42,1131095.54,4358489.82,3954097.24,5004172.04,12630586.25,1755075.99,40845634.24,56582444.07,53001919.4,99685080.45
a_1,1280.01,995.16,1553.69,2040.52,2969.28,280319.62,1289371.32,5335206.16,3749956.93,5826385.93,9075177.46,11594222.35,,47259016.74,45109601.3,100257040.44
h_1,2650.49,1852.76,3201.39,3451.95,4562.45,18601.56,7842246.27,7734441.99,8206192.49,10535205.44,16952352.94,16894681.98,67356759.16,35483190.05,66022503.08,256178346.48
d_0,2192.21,1824.25,968.74,7561.41,4370.5,18479.98,2269245.73,22218942.45,6625182.93,9004449.1,19664729.41,17184968.62,73365108.57,124848261.28,82350649.0,217638241.26
g_1,1302.77,1868.62,5125.2,2888.44,4430.65,28594.44,2052383.56,7413194.94,34904694.29,8641517.48,21310196.33,20952835.84,64116138.07,119904969.43,82044536.97,85801824.47
c_0,2918.94,1657.2,2862.76,1036.29,4530.09,23504.98,2688211.07,7584901.28,9808916.92,30149350.04,21849460.54,37576983.46,112970399.85,125656354.12,76084007.18,203266989.2
f_0,901.41,1812.77,3393.32,4312.27,4225.61,23776.09,2546779.38,9949557.85,8259271.95,11309976.75,55523224.46,22707515.16,102567370.22,144173505.21,194704329.98,216268216.36
b_0,2447.01,1777.04,4173.93,3503.57,1982.65,13410.16,2320539.71,7305951.62,6498843.75,12378919.32,20053437.97,59025718.41,180466638.74,124472777.79,83411034.92,213817437.3
a_0,2353.27,2302.31,3515.0,3073.4,4372.9,,2433391.68,6941367.23,7601227.99,8889265.28,21299727.92,16412835.65,276708327.84,97303592.79,93179622.41,228893010.72
h_0,2499.51,1675.54,3747.3,3902.2,3905.72,22264.78,716756.64,7948438.41,8680822.69,10178942.46,18396988.24,17326325.59,75069994.9,37883019.33,84264344.74,251151376.24
e_0,1822.49,1079.89,3023.71,4529.16,6305.86,32661.44,2107156.75,8072310.18,7778919.03,10337575.33,21797643.64,18396180.16,87131333.6,119946494.96,332529929.21,182189588.33
g_0,1703.42,1788.94,5518.05,3731.54,3667.31,22404.29,1960738.0,6948039.79,3217062.19,9138291.66,30333956.5,15350286.94,78543237.65,105294192.69,99538848.32,
