,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.52,0.79,0.6,0.88,0.65,0.59,0.86,1.35,0.8,0.77,0.88,0.85,0.91,0.81,0.68,0.97
f_1,1.09,1.52,0.67,0.77,0.65,0.61,0.65,0.89,0.79,0.8,0.79,0.51,0.82,0.62,0.56,0.81
d_1,0.78,0.87,1.56,0.58,0.77,0.6,0.87,0.67,0.76,1.41,0.96,0.84,1.1,0.73,0.84,0.78
c_1,0.67,0.69,0.87,1.55,1.02,0.55,0.89,0.74,0.79,0.58,0.7,0.91,1.04,0.73,0.76,0.76
b_1,0.76,0.74,0.82,0.69,1.61,1.0,0.88,0.9,0.72,0.85,0.61,0.81,0.84,0.68,0.76,0.97
a_1,0.8,0.83,0.92,0.85,0.66,1.75,1.0,1.11,0.94,0.91,1.09,0.95,1.1,0.58,0.71,0.97
h_1,1.01,1.45,0.99,0.86,0.75,0.71,1.76,1.09,1.21,0.93,1.18,1.01,1.03,1.02,0.79,1.33
d_0,0.95,1.08,0.72,1.67,0.83,0.79,1.22,1.61,1.03,0.9,1.13,1.13,1.22,0.79,0.94,1.31
g_1,0.91,0.93,1.33,0.95,1.08,0.73,1.12,1.19,1.84,1.05,1.08,1.64,1.2,1.0,0.92,1.01
c_0,1.12,1.16,0.98,0.86,0.79,0.76,1.34,1.31,1.07,1.71,1.95,1.3,1.25,1.16,1.1,1.22
b_0,1.05,1.26,1.05,1.19,0.65,0.72,1.19,1.29,1.14,0.95,1.65,1.12,1.38,1.87,1.07,1.23
f_0,1.0,0.91,1.22,1.01,1.07,0.76,1.52,1.18,1.03,1.1,1.38,1.73,1.22,1.18,1.89,1.19
h_0,0.92,1.36,1.03,0.99,1.08,0.85,0.99,1.24,1.35,1.28,1.29,1.32,1.1,1.01,1.01,1.48
a_0,1.06,1.26,1.25,1.14,0.87,0.85,1.41,1.36,1.34,1.27,1.08,1.14,1.57,1.79,1.26,1.32
e_0,0.79,1.38,1.07,1.2,0.99,0.95,1.7,1.39,1.17,1.25,1.42,1.03,1.64,1.12,1.77,1.42
g_0,0.94,0.91,1.52,1.24,0.97,0.86,1.28,1.1,0.73,1.18,1.43,1.76,1.24,0.98,1.14,1.17
