,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.73,0.95,1.12,0.97,0.67,1.11,0.9,0.92,1.38,0.95,1.04,1.15,,1.16,1.03
f_1,1.36,1.0,1.01,0.9,0.94,0.85,0.87,1.24,1.1,0.96,,1.09,0.97,0.82,0.96,0.77
d_1,1.05,0.99,1.0,1.02,1.13,0.94,1.0,0.74,1.32,,1.04,1.18,1.1,0.93,0.84,0.65
c_1,0.89,1.11,0.98,1.0,1.56,0.92,1.13,0.9,,0.79,0.92,0.92,1.13,0.88,1.02,0.94
b_1,1.04,1.07,0.89,0.64,1.0,1.28,1.0,0.97,1.08,0.98,1.02,,1.06,1.22,0.94,
a_1,1.49,1.17,1.07,1.09,0.78,1.0,1.13,0.92,0.98,0.87,0.97,0.87,0.85,,1.07,
h_1,0.9,1.15,1.0,0.88,1.0,0.88,1.0,1.35,1.12,0.87,0.95,0.93,,0.88,0.94,1.2
g_1,1.11,0.81,1.36,1.11,1.03,1.09,0.74,1.0,0.96,1.02,1.25,0.87,0.84,0.94,,1.04
c_0,1.09,0.91,0.76,,0.92,1.02,0.89,1.04,1.0,1.09,1.12,1.45,0.97,1.03,0.95,1.06
d_0,0.72,1.04,,1.26,1.02,1.15,1.15,0.98,0.92,1.0,0.97,0.92,1.03,0.93,1.04,1.08
f_0,1.06,,0.96,1.09,0.98,1.03,1.05,0.8,0.89,1.03,1.0,1.07,0.92,1.11,0.97,1.06
b_0,0.96,0.92,0.85,1.09,,1.14,1.07,1.15,0.69,1.09,0.94,1.0,0.94,1.29,1.28,1.27
h_0,0.87,1.03,0.91,0.88,0.95,1.18,,1.19,1.03,0.97,1.09,1.06,,0.96,1.13,1.0
e_0,,1.22,1.07,1.13,0.82,,1.14,1.06,0.97,1.08,0.9,0.77,1.05,1.0,0.81,
g_0,0.86,1.04,1.2,0.98,1.06,0.94,1.06,,1.05,0.97,1.03,0.78,0.89,1.24,,0.82
a_0,0.97,1.3,1.54,1.06,,,0.84,0.97,0.95,0.93,0.94,0.79,1.0,,1.22,1.0
